setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8133 0.2 0.2 0.7067 0.779262 0.449456 0.485505 0.652709 0.0277929
0.8133 0.2 0.2 0.7067 0.780796 0.459427 0.502379 0.655777 0.0282684
0.8133 0.2 0.2 0.7067 0.781563 0.457893 0.520019 0.658078 0.0287365
0.8133 0.2 0.2 0.7067 0.783097 0.467864 0.53766 0.661146 0.0291978
0.8133 0.2 0.2 0.7067 0.784631 0.46633 0.555301 0.66268 0.0296512
0.8133 0.2 0.2 0.7067 0.785398 0.476301 0.573709 0.664981 0.0300971
0.8133 0.2 0.2 0.7067 0.786165 0.487039 0.592117 0.667282 0.0305333
0.8133 0.2 0.2 0.7067 0.786932 0.498544 0.610524 0.668816 0.0309595
0.8133 0.2 0.2 0.7067 0.787699 0.496243 0.629699 0.669583 0.0313771
0.8133 0.2 0.2 0.7067 0.788466 0.506981 0.648874 0.671117 0.0317856
0.8133 0.2 0.2 0.7067 0.789233 0.518486 0.668049 0.672651 0.0321831
0.8133 0.2 0.2 0.7067 0.79 0.52999 0.68799 0.673418 0.032569
0.8133 0.2 0.2 0.7067 0.79 0.541495 0.707932 0.674185 0.0329432
0.8133 0.2 0.2 0.7067 0.790767 0.553767 0.727874 0.674952 0.0333053
0.8133 0.2 0.2 0.7067 0.790767 0.549932 0.748583 0.674952 0.0336574
0.8133 0.2 0.2 0.7067 0.791534 0.561437 0.768524 0.675719 0.0340022
0.8133 0.2 0.2 0.7067 0.791534 0.572942 0.789233 0.675719 0.0343367
0.8133 0.2 0.2 0.7067 0.784631 0.592117 0.816078 0.684155 0.0346983
0.8133 0.2 0.2 0.7067 0.780029 0.61666 0.84599 0.693359 0.0350665
0.8133 0.2 0.2 0.7067 0.777728 0.645039 0.842155 0.701029 0.0354298
0.8133 0.2 0.2 0.7067 0.776961 0.648874 0.873602 0.705631 0.035788
0.8133 0.2 0.2 0.7067 0.775427 0.679553 0.869 0.711 0.0361325
0.8133 0.2 0.2 0.7067 0.77466 0.682621 0.841388 0.712534 0.0364687
0.8133 0.2 0.2 0.7067 0.775427 0.714835 0.872835 0.714835 0.0367961
0.8133 0.2 0.2 0.7067 0.773893 0.716369 0.865165 0.715602 0.0371049
0.8133 0.2 0.2 0.7067 0.773126 0.747816 0.895845 0.721738 0.0374422
0.2 0.7067 0.8133 0.2 0.770058 0.780796 0.886641 0.727874 0.0377817
0.2 0.7067 0.8133 0.2 0.765456 0.780796 0.857495 0.730942 0.0381351
0.2 0.7067 0.8133 0.2 0.760854 0.762388 0.882806 0.733243 0.0385091
0.2 0.7067 0.8133 0.2 0.756253 0.791534 0.874369 0.73401 0.038886
0.2 0.7067 0.8133 0.2 0.750117 0.791534 0.849058 0.732476 0.0392765
0.2 0.7067 0.8133 0.2 0.744748 0.821447 0.818379 0.729408 0.0396834
0.2 0.7067 0.8133 0.2 0.737845 0.821447 0.837554 0.725573 0.0401063
0.2 0.7067 0.8133 0.2 0.730175 0.806874 0.831418 0.720971 0.0405329
0.2 0.7067 0.8133 0.2 0.723272 0.785398 0.814544 0.715602 0.040971
0.2 0.7067 0.8133 0.2 0.715602 0.810709 0.794602 0.711 0.0414217
0.2 0.7067 0.8133 0.2 0.707932 0.812243 0.773893 0.704864 0.0418794
0.2 0.7067 0.8133 0.2 0.700262 0.803806 0.789233 0.698728 0.0423512
0.2 0.7067 0.8133 0.2 0.691825 0.79 0.789233 0.691825 0.0428265
0.2 0.7067 0.8133 0.2 0.683388 0.776194 0.783097 0.684922 0.043311
0.2 0.7067 0.8133 0.2 0.674952 0.786165 0.77466 0.677253 0.0438064
0.2 0.7067 0.8133 0.2 0.665748 0.786932 0.76699 0.669583 0.0443085
0.2 0.7067 0.8133 0.2 0.657311 0.783864 0.760087 0.661913 0.0448195
0.2 0.7067 0.8133 0.2 0.648107 0.778495 0.756253 0.653476 0.04534
0.2 0.7067 0.8133 0.2 0.638903 0.772359 0.754719 0.645039 0.04587
0.2 0.7067 0.8133 0.2 0.629699 0.766223 0.754719 0.636602 0.0464094
0.2 0.7067 0.8133 0.2 0.620495 0.760854 0.75702 0.627398 0.0469577
0.2 0.7067 0.8133 0.2 0.611291 0.754719 0.760087 0.618194 0.0475143
0.2 0.7067 0.8133 0.2 0.602087 0.750117 0.763922 0.609757 0.0480792
0.2 0.7067 0.8133 0.2 0.592884 0.745515 0.76699 0.599786 0.048652
0.2 0.7067 0.8133 0.2 0.58368 0.740913 0.770058 0.590583 0.0492327
0.2 0.7067 0.8133 0.2 0.574476 0.737078 0.773126 0.581379 0.0498211
0.2 0.7067 0.8133 0.2 0.565272 0.73401 0.775427 0.572175 0.0504172
0.2 0.7067 0.8133 0.2 0.556835 0.730175 0.777728 0.562204 0.0510207
0.2 0.7067 0.8133 0.2 0.547631 0.727874 0.780029 0.553 0.0516316
0.2 0.7067 0.8133 0.2 0.539194 0.724806 0.78233 0.543796 0.0522497
0.2 0.7067 0.8133 0.2 0.530757 0.722505 0.783864 0.534592 0.0528749
0.2 0.7067 0.8133 0.2 0.52232 0.720971 0.785398 0.525388 0.053507
0.2 0.7067 0.8133 0.2 0.513884 0.71867 0.787699 0.516185 0.0541458
0.2 0.7067 0.8133 0.2 0.506214 0.717136 0.788466 0.507748 0.0547911
0.2 0.7067 0.8133 0.2 0.498544 0.715602 0.79 0.499311 0.0554427
0.2 0.7067 0.8133 0.2 0.491641 0.714068 0.791534 0.490874 0.0561005
0.2 0.7067 0.8133 0.2 0.483971 0.712534 0.792301 0.482437 0.0567641
0.2 0.7067 0.8133 0.2 0.477835 0.711767 0.793068 0.474767 0.0574334
0.2 0.7067 0.8133 0.2 0.470932 0.710233 0.793835 0.467097 0.058108
0.2 0.7067 0.8133 0.2 0.464796 0.709466 0.795369 0.460194 0.0587878
0.2 0.7067 0.8133 0.2 0.459427 0.708699 0.796136 0.453291 0.0594725
0.2 0.7067 0.8133 0.2 0.454058 0.707165 0.796136 0.447155 0.060162
0.2 0.7067 0.8133 0.2 0.448689 0.706398 0.796903 0.441019 0.0608561
0.2 0.7067 0.8133 0.2 0.444087 0.705631 0.79767 0.434884 0.0615545
0.2 0.7067 0.8133 0.2 0.440252 0.705631 0.798437 0.429515 0.062257
0.2 0.7067 0.8133 0.2 0.436418 0.704864 0.798437 0.424913 0.0629632
0.2 0.7067 0.8133 0.2 0.43335 0.704097 0.799204 0.421078 0.0636727
0.2 0.7067 0.8133 0.2 0.430282 0.70333 0.799204 0.417243 0.0643853
0.2 0.7067 0.8133 0.2 0.427981 0.702563 0.799971 0.413408 0.0651004
0.2 0.7067 0.8133 0.2 0.42568 0.702563 0.799971 0.411107 0.0658177
0.2 0.7067 0.8133 0.2 0.424913 0.701796 0.800738 0.408806 0.0665368
0.2 0.7067 0.8133 0.2 0.423379 0.701029 0.800738 0.406505 0.0672573
0.2 0.7067 0.8133 0.2 0.423379 0.701029 0.800738 0.405738 0.0679787
0.2 0.7067 0.8133 0.2 0.423379 0.700262 0.800738 0.404971 0.0687006
0.2 0.7067 0.8133 0.2 0.424146 0.700262 0.801505 0.404971 0.0694225
0.2 0.7067 0.8133 0.2 0.424913 0.699495 0.801505 0.405738 0.0701439
0.2 0.7067 0.8133 0.2 0.427214 0.699495 0.801505 0.406505 0.0708642
0.2 0.7067 0.8133 0.2 0.429515 0.698728 0.801505 0.408806 0.0715828
0.2 0.7067 0.8133 0.2 0.431816 0.698728 0.801505 0.411107 0.0722992
0.2 0.7067 0.8133 0.2 0.435651 0.697961 0.801505 0.414175 0.0730126
0.2 0.7067 0.8133 0.2 0.439485 0.697961 0.801505 0.41801 0.0737224
0.2 0.7067 0.8133 0.2 0.444087 0.697194 0.801505 0.422612 0.0744279
0.2 0.7067 0.8133 0.2 0.448689 0.697194 0.801505 0.427981 0.0751284
0.2 0.7067 0.8133 0.2 0.454825 0.696427 0.801505 0.43335 0.0758235
0.2 0.7067 0.8133 0.2 0.460961 0.696427 0.801505 0.440252 0.0765127
0.2 0.7067 0.8133 0.2 0.467097 0.69566 0.801505 0.447155 0.0771956
0.2 0.7067 0.8133 0.2 0.474767 0.694893 0.801505 0.454825 0.0778719
0.2 0.7067 0.8133 0.2 0.482437 0.694893 0.801505 0.463262 0.0785409
0.2 0.7067 0.8133 0.2 0.492408 0.696427 0.807641 0.474 0.0791913
0.2 0.7067 0.8133 0.2 0.503913 0.697961 0.814544 0.487039 0.0798198
0.2 0.7067 0.8133 0.2 0.518486 0.701029 0.822214 0.502379 0.0804237
0.2 0.7067 0.8133 0.2 0.533825 0.701796 0.831418 0.503913 0.081006
0.2 0.7067 0.8133 0.2 0.533825 0.70333 0.841388 0.521553 0.0815671
0.2 0.7067 0.8133 0.2 0.550699 0.704097 0.850592 0.540728 0.0821047
0.2 0.7067 0.8133 0.2 0.550699 0.704097 0.859796 0.562204 0.0826183
0.2 0.7067 0.8133 0.2 0.539961 0.702563 0.869 0.563738 0.0831175
0.2 0.7067 0.8133 0.2 0.556835 0.702563 0.878204 0.585214 0.0835924
0.2 0.7067 0.8133 0.2 0.573709 0.701029 0.887408 0.60899 0.0840396
0.2 0.7067 0.8133 0.2 0.572942 0.700262 0.895078 0.633534 0.0844601
0.2 0.7067 0.8133 0.2 0.590583 0.698728 0.902748 0.633534 0.084862
0.2 0.7067 0.8133 0.2 0.589049 0.697961 0.910418 0.658845 0.0852342
0.2 0.7067 0.8133 0.2 0.606689 0.697194 0.916554 0.684922 0.0855767
0.2 0.7067 0.8133 0.2 0.604388 0.69566 0.922689 0.684155 0.0858996
0.2 0.7067 0.8133 0.2 0.622796 0.694893 0.928825 0.711 0.0861905
0.2 0.7067 0.8133 0.2 0.641204 0.694126 0.933427 0.738612 0.086447
0.2 0.7067 0.8133 0.2 0.638136 0.694126 0.937262 0.767757 0.0866707
0.2 0.7067 0.8133 0.2 0.656544 0.692592 0.94033 0.765456 0.086874
0.2 0.7067 0.8133 0.2 0.651175 0.691058 0.942631 0.793068 0.0870584
0.2 0.7067 0.8133 0.2 0.666515 0.686456 0.942631 0.784631 0.0872399
0.2 0.7067 0.8133 0.2 0.682621 0.681854 0.941097 0.809175 0.0874001
0.2 0.7067 0.8133 0.2 0.674952 0.674952 0.938029 0.824515 0.0875495
0.2 0.7067 0.8133 0.2 0.688757 0.666515 0.933427 0.808408 0.0876987
0.2 0.7067 0.8133 0.2 0.679553 0.658845 0.928058 0.829884 0.0878301
0.2 0.7067 0.8133 0.2 0.692592 0.648874 0.921922 0.816845 0.0879558
0.2 0.7067 0.8133 0.2 0.684155 0.638903 0.914253 0.836787 0.0880632
0.2 0.7067 0.8133 0.2 0.696427 0.627398 0.906583 0.822981 0.088165
0.2 0.7067 0.8133 0.2 0.686456 0.615893 0.897379 0.791534 0.0882664
0.2 0.7067 0.8133 0.2 0.664981 0.604388 0.888175 0.806874 0.0883585
0.2 0.7067 0.8133 0.2 0.675719 0.59135 0.877437 0.816845 0.0884415
0.2 0.7067 0.8133 0.2 0.665748 0.577544 0.866699 0.798437 0.0885208
0.2 0.7067 0.8133 0.2 0.644272 0.564505 0.855194 0.81301 0.0885933
0.2 0.7067 0.8133 0.2 0.654243 0.552233 0.842922 0.796903 0.0886662
0.2 0.7067 0.8133 0.2 0.644272 0.543029 0.829884 0.811476 0.0887255
0.2 0.7067 0.8133 0.2 0.62433 0.533825 0.816845 0.795369 0.0887824
0.2 0.7067 0.8133 0.2 0.633534 0.535359 0.803806 0.765456 0.0888402
0.2 0.7067 0.8133 0.2 0.625097 0.543029 0.79 0.777728 0.0888817
0.2 0.7067 0.8133 0.2 0.606689 0.552233 0.776961 0.791534 0.0889072
0.2 0.7067 0.8133 0.2 0.582913 0.562971 0.762388 0.776961 0.088925
0.2 0.7067 0.8133 0.2 0.592117 0.573709 0.748583 0.791534 0.0889303
0.2 0.7067 0.8133 0.2 0.584447 0.58368 0.73401 0.776194 0.0889213
0.2 0.7067 0.8133 0.2 0.56834 0.594418 0.719437 0.790767 0.0888987
0.2 0.7067 0.8133 0.2 0.578311 0.603621 0.704097 0.776194 0.0888683
0.2 0.7067 0.8133 0.2 0.572175 0.612825 0.689524 0.791534 0.0888199
0.2 0.7067 0.8133 0.2 0.556835 0.620495 0.673418 0.776961 0.0887611
0.2 0.7067 0.8133 0.2 0.536893 0.628165 0.658078 0.793068 0.0886918
0.2 0.7067 0.8133 0.2 0.514651 0.635068 0.642738 0.778495 0.088616
0.2 0.7067 0.8133 0.2 0.524621 0.641204 0.627398 0.796136 0.0885334
0.2 0.7067 0.8133 0.2 0.520019 0.646573 0.611291 0.781563 0.0884375
0.2 0.7067 0.8133 0.2 0.508515 0.651942 0.595952 0.798437 0.088331
0.2 0.7067 0.8133 0.2 0.491641 0.657311 0.579845 0.817612 0.0882112
0.2 0.7067 0.8133 0.2 0.473233 0.660379 0.563738 0.803806 0.0880852
0.2 0.7067 0.8133 0.2 0.454058 0.664981 0.547631 0.822981 0.0879524
0.2 0.7067 0.8133 0.2 0.435651 0.668049 0.532291 0.809175 0.0878144
0.2 0.7067 0.8133 0.2 0.41801 0.671884 0.516185 0.829117 0.0876712
0.2 0.7067 0.8133 0.2 0.401903 0.674952 0.500845 0.850592 0.0875175
0.8133 0.2 0.2 0.7067 0.386563 0.676486 0.484738 0.837554 0.087359
0.8133 0.2 0.2 0.7067 0.375058 0.676486 0.469398 0.859796 0.0871957
0.8133 0.2 0.2 0.7067 0.36432 0.671117 0.452524 0.882039 0.0870561
0.8133 0.2 0.2 0.7067 0.355884 0.66268 0.434884 0.868233 0.0869564
0.8133 0.2 0.2 0.7067 0.350515 0.653476 0.417243 0.839854 0.0868937
0.8133 0.2 0.2 0.7067 0.348981 0.644272 0.398835 0.857495 0.0868603
0.8133 0.2 0.2 0.7067 0.348981 0.632767 0.380427 0.846757 0.0868454
0.8133 0.2 0.2 0.7067 0.352049 0.621262 0.362019 0.825282 0.0868525
0.8133 0.2 0.2 0.7067 0.358185 0.60899 0.343612 0.840621 0.0868795
0.8133 0.2 0.2 0.7067 0.365087 0.595185 0.325204 0.834486 0.0869183
0.8133 0.2 0.2 0.7067 0.375058 0.581379 0.306029 0.818379 0.0869732
0.8133 0.2 0.2 0.7067 0.385796 0.567573 0.287621 0.800738 0.0870458
0.8133 0.2 0.2 0.7067 0.398835 0.552233 0.268447 0.783864 0.0871364
0.8133 0.2 0.2 0.7067 0.413408 0.536893 0.250039 0.769291 0.0872447
0.8133 0.2 0.2 0.7067 0.429515 0.521553 0.231631 0.75702 0.0873699
0.8133 0.2 0.2 0.7067 0.446388 0.506214 0.21399 0.747816 0.0875111
0.8133 0.2 0.2 0.7067 0.464029 0.490107 0.195583 0.742447 0.0876673
0.8133 0.2 0.2 0.7067 0.483204 0.473233 0.177175 0.737845 0.0878372
0.8133 0.2 0.2 0.7067 0.503146 0.457126 0.159534 0.73401 0.0880202
0.8133 0.2 0.2 0.7067 0.523087 0.440252 0.141893 0.730942 0.0882156
0.8133 0.2 0.2 0.7067 0.543796 0.423379 0.124252 0.728641 0.0884229
0.8133 0.2 0.2 0.7067 0.564505 0.406505 0.106612 0.72634 0.0886416
0.8133 0.2 0.2 0.7067 0.58368 0.388864 0.0897379 0.724806 0.0888716
0.8133 0.2 0.2 0.7067 0.60132 0.37199 0.0728641 0.722505 0.089113
0.8133 0.2 0.2 0.7067 0.618194 0.355117 0.0559903 0.720971 0.0893659
0.8133 0.2 0.2 0.7067 0.633534 0.338243 0.0391165 0.720204 0.0896301
0.8133 0.2 0.2 0.7067 0.648107 0.322903 0.0237767 0.71867 0.0899047
0.8133 0.2 0.2 0.7067 0.661146 0.30833 0.0076699 0.717903 0.0901888
0.8133 0.2 0.2 0.7067 0.672651 0.295291 -0.0076699 0.717136 0.0904815
0.8133 0.2 0.2 0.7067 0.683388 0.284553 -0.0214757 0.717136 0.0907821
0.8133 0.2 0.2 0.7067 0.694126 0.277651 -0.0184078 0.717903 0.0911219
0.8133 0.2 0.2 0.7067 0.704097 0.269981 -0.0161068 0.71867 0.0914664
0.8133 0.2 0.2 0.7067 0.711767 0.263078 -0.00843689 0.717903 0.0918156
0.8133 0.2 0.2 0.7067 0.71867 0.256942 0.00230097 0.717136 0.0921679
0.8133 0.2 0.2 0.7067 0.725573 0.251573 0.0145728 0.716369 0.0925219
0.8133 0.2 0.2 0.7067 0.730942 0.247738 0.0276117 0.715602 0.0928765
0.8133 0.2 0.2 0.7067 0.736311 0.243903 0.0414175 0.714835 0.093231
0.8133 0.2 0.2 0.7067 0.740913 0.241602 0.0559903 0.713301 0.093585
0.8133 0.2 0.2 0.7067 0.745515 0.238534 0.0690291 0.712534 0.0939387
0.8133 0.2 0.2 0.7067 0.74935 0.235466 0.082068 0.711767 0.0942928
0.8133 0.2 0.2 0.7067 0.753185 0.233165 0.0935728 0.710233 0.0946481
0.8133 0.2 0.2 0.7067 0.756253 0.22933 0.104311 0.709466 0.0950053
0.8133 0.2 0.2 0.7067 0.75932 0.226262 0.114282 0.708699 0.0953651
0.8133 0.2 0.2 0.7067 0.761621 0.223194 0.123485 0.707165 0.0957279
0.8133 0.2 0.2 0.7067 0.764689 0.219359 0.131922 0.706398 0.0960939
0.8133 0.2 0.2 0.7067 0.76699 0.216291 0.138825 0.705631 0.0964631
0.8133 0.2 0.2 0.7067 0.769291 0.213223 0.145728 0.704864 0.0968354
0.8133 0.2 0.2 0.7067 0.771592 0.210922 0.151864 0.704097 0.0972108
0.8133 0.2 0.2 0.7067 0.773126 0.208621 0.157233 0.70333 0.0975893
0.8133 0.2 0.2 0.7067 0.775427 0.207087 0.161835 0.70333 0.0979708
0.8133 0.2 0.2 0.7067 0.776961 0.205553 0.16567 0.702563 0.0983555
0.8133 0.2 0.2 0.7067 0.778495 0.204019 0.169505 0.701796 0.0987434
0.8133 0.2 0.2 0.7067 0.780029 0.202485 0.172573 0.701796 0.0991347
0.8133 0.2 0.2 0.7067 0.781563 0.201718 0.175641 0.701029 0.0995296
0.8133 0.2 0.2 0.7067 0.783097 0.200184 0.178709 0.701029 0.0999282
0.8133 0.2 0.2 0.7067 0.783864 0.199418 0.18101 0.700262 0.100331
0.8133 0.2 0.2 0.7067 0.785398 0.198651 0.183311 0.700262 0.100737
0.8133 0.2 0.2 0.7067 0.786165 0.197884 0.184845 0.699495 0.101148
0.8133 0.2 0.2 0.7067 0.788466 0.200951 0.18868 0.698728 0.101577
0.8133 0.2 0.2 0.7067 0.790767 0.202485 0.192515 0.698728 0.102025
0.8133 0.2 0.2 0.7067 0.793068 0.204019 0.197884 0.698728 0.102496
0.8133 0.2 0.2 0.7067 0.794602 0.207087 0.204019 0.699495 0.102986
0.8133 0.2 0.2 0.7067 0.796136 0.211689 0.210155 0.700262 0.103492
0.8133 0.2 0.2 0.7067 0.796903 0.216291 0.217825 0.700262 0.104009
0.8133 0.2 0.2 0.7067 0.79767 0.22166 0.225495 0.700262 0.104533
0.8133 0.2 0.2 0.7067 0.798437 0.228563 0.234699 0.700262 0.105064
0.8133 0.2 0.2 0.7067 0.799204 0.236233 0.243903 0.700262 0.105599
0.8133 0.2 0.2 0.7067 0.799204 0.24467 0.253874 0.700262 0.106136
0.8133 0.2 0.2 0.7067 0.799971 0.253107 0.263845 0.700262 0.106673
0.8133 0.2 0.2 0.7067 0.799971 0.262311 0.274583 0.705631 0.107212
0.8133 0.2 0.2 0.7067 0.799204 0.271515 0.284553 0.710233 0.107748
0.8133 0.2 0.2 0.7067 0.798437 0.280718 0.294524 0.714068 0.108283
0.8133 0.2 0.2 0.7067 0.798437 0.289922 0.304495 0.717136 0.108814
0.8133 0.2 0.2 0.7067 0.79767 0.296825 0.314466 0.719437 0.109343
0.8133 0.2 0.2 0.7067 0.796903 0.303728 0.324437 0.721738 0.10987
0.8133 0.2 0.2 0.7067 0.796136 0.305262 0.334408 0.722505 0.110395
0.8133 0.2 0.2 0.7067 0.796136 0.302194 0.345146 0.723272 0.110921
0.8133 0.2 0.2 0.7067 0.796136 0.310631 0.355117 0.723272 0.111447
0.8133 0.2 0.2 0.7067 0.796136 0.312165 0.365854 0.722505 0.11197
0.8133 0.2 0.2 0.7067 0.796136 0.310631 0.377359 0.720971 0.112493
0.8133 0.2 0.2 0.7067 0.796136 0.305262 0.388097 0.71867 0.113017
0.8133 0.2 0.2 0.7067 0.796903 0.312932 0.399602 0.715602 0.113541
0.8133 0.2 0.2 0.7067 0.796903 0.314466 0.411107 0.712534 0.114063
0.8133 0.2 0.2 0.7067 0.796903 0.311398 0.423379 0.707932 0.114586
0.8133 0.2 0.2 0.7067 0.796903 0.318301 0.434884 0.702563 0.115109
0.8133 0.2 0.2 0.7067 0.796903 0.319068 0.447155 0.696427 0.115631
0.8133 0.2 0.2 0.7067 0.796903 0.316 0.459427 0.689524 0.116155
0.8133 0.2 0.2 0.7067 0.796903 0.310631 0.471699 0.681087 0.116682
0.8133 0.2 0.2 0.7067 0.796903 0.316767 0.484738 0.671884 0.11721
0.8133 0.2 0.2 0.7067 0.796903 0.316767 0.49701 0.66268 0.117739
0.8133 0.2 0.2 0.7067 0.796903 0.313699 0.510816 0.656544 0.11827
0.8133 0.2 0.2 0.7067 0.79767 0.319835 0.523854 0.655777 0.118799
0.8133 0.2 0.2 0.7067 0.79767 0.321369 0.53766 0.655777 0.119325
0.8133 0.2 0.2 0.7067 0.79767 0.318301 0.552233 0.658078 0.119848
0.8133 0.2 0.2 0.7067 0.798437 0.325204 0.566806 0.660379 0.120366
