distance x y z pitch roll
0.0371049 0.0386438 0.119806 -0.0010371 -0.815935 0.196016
0.0374422 0.0389802 0.11949 -0.000913222 -0.631575 0.142178
0.0377817 0.0393189 0.119261 -0.000804063 -0.4692 0.0939263
0.0381351 0.0396715 0.119115 -0.000691592 -0.335451 0.0422076
0.0385091 0.0400446 0.119012 -0.00056118 -0.224749 -0.0189956
0.038886 0.0404207 0.118938 -0.000457229 -0.10498 -0.0648275
0.0392765 0.0408106 0.11894 -0.00035257 -0.0151888 -0.11327
0.0396834 0.0412168 0.118971 -0.000266155 0.0740952 -0.15239
0.0401063 0.0416391 0.119048 -0.000159817 0.133074 -0.202777
0.0405329 0.0420648 0.119169 -4.92493e-05 0.181776 -0.253716
0.040971 0.0425022 0.119316 6.45591e-05 0.229516 -0.305786
0.0414217 0.0429522 0.119459 0.00016233 0.290778 -0.349617
0.0418794 0.0434092 0.119637 0.00027033 0.335716 -0.399262
0.0423512 0.0438801 0.11983 0.000390581 0.369696 -0.454967
0.0428265 0.0443545 0.120045 0.000513844 0.398812 -0.510357
0.043311 0.0448382 0.120273 0.000639573 0.426857 -0.566592
0.0438064 0.0453327 0.120504 0.000758602 0.459569 -0.619652
0.0443085 0.0458339 0.120752 0.000883801 0.482806 -0.675498
0.0448195 0.0463439 0.121013 0.00101318 0.501151 -0.732909
0.04534 0.0468634 0.121283 0.00114607 0.515893 -0.791597
0.04587 0.0473925 0.121561 0.00128203 0.527351 -0.851361
0.0464094 0.0479308 0.121846 0.0014208 0.535469 -0.912096
0.0469577 0.048478 0.122136 0.00156222 0.540151 -0.973721
0.0475143 0.0490336 0.122431 0.00170619 0.541424 -1.03618
0.0480792 0.0495974 0.12273 0.0018527 0.539406 -1.09948
0.048652 0.0501691 0.123031 0.00200178 0.534244 -1.16362
0.0492327 0.0507486 0.123334 0.00215341 0.52609 -1.2286
0.0498211 0.0513358 0.123637 0.00230759 0.515095 -1.29442
0.0504172 0.0519306 0.12394 0.00246432 0.501398 -1.36107
0.0510207 0.0525329 0.124241 0.0026236 0.485138 -1.42856
0.0516316 0.0531425 0.124538 0.0027854 0.466443 -1.49689
0.0522497 0.0537593 0.124831 0.00294972 0.445437 -1.56605
0.0528749 0.0543832 0.125119 0.00311653 0.422237 -1.63607
0.053507 0.0550139 0.1254 0.00328582 0.396949 -1.70694
0.0541458 0.0556514 0.125674 0.00345755 0.369675 -1.77867
0.0547911 0.0562953 0.125938 0.00363172 0.340514 -1.85129
0.0554427 0.0569455 0.126193 0.0038083 0.309559 -1.92481
0.0561005 0.0576018 0.126436 0.00398729 0.2769 -1.99924
0.0567641 0.058264 0.126668 0.00416869 0.242619 -2.07461
0.0574334 0.0589317 0.126887 0.00435247 0.206794 -2.15094
0.058108 0.0596048 0.127091 0.00453867 0.169492 -2.22826
0.0587878 0.0602831 0.127281 0.00472727 0.130773 -2.30662
0.0594725 0.0609662 0.127455 0.00491821 0.0905389 -2.386
0.060162 0.0616541 0.127612 0.00511143 0.0487115 -2.46643
0.0608561 0.0623466 0.127753 0.00530693 0.00524914 -2.54794
0.0615545 0.0630434 0.127876 0.00550472 -0.0398695 -2.63059
0.062257 0.0637442 0.127981 0.00570487 -0.0866523 -2.71446
0.0629632 0.0644487 0.128067 0.00590743 -0.135101 -2.79961
0.0636727 0.0651565 0.128133 0.00611249 -0.185216 -2.88614
0.0643853 0.0658673 0.128178 0.00632014 -0.237001 -2.97412
0.0651004 0.0665807 0.128202 0.00653051 -0.290462 -3.06366
0.0658177 0.0672962 0.128205 0.00674372 -0.345614 -3.15488
0.0665368 0.0680135 0.128184 0.00695988 -0.40248 -3.24787
0.0672573 0.0687321 0.128141 0.00717924 -0.46101 -3.34281
0.0679787 0.0694517 0.128074 0.00740204 -0.521143 -3.43988
0.0687006 0.0701717 0.127984 0.00762853 -0.582868 -3.53924
0.0694225 0.0708916 0.127868 0.00785893 -0.646211 -3.64107
0.0701439 0.071611 0.127728 0.00809348 -0.711233 -3.74553
0.0708642 0.0723293 0.127563 0.0083324 -0.778017 -3.8528
0.0715828 0.0730459 0.127371 0.00857592 -0.846671 -3.96306
0.0722992 0.0737602 0.127153 0.00882426 -0.917319 -4.07651
0.0730126 0.0744715 0.126908 0.00907768 -0.990102 -4.19332
0.0737224 0.0751792 0.126636 0.00933642 -1.06517 -4.31372
0.0744279 0.0758825 0.126336 0.00960075 -1.1427 -4.43791
0.0751284 0.0765807 0.126009 0.0098709 -1.2229 -4.5661
0.0758235 0.0772735 0.125653 0.0101469 -1.30627 -4.69837
0.0765127 0.0779604 0.12527 0.0104287 -1.39333 -4.83486
0.0771956 0.078641 0.12486 0.0107165 -1.48458 -4.97568
0.0778719 0.0793149 0.124423 0.0110103 -1.58051 -5.12099
0.0785409 0.0799816 0.12396 0.0113101 -1.68162 -5.27093
0.0791913 0.0806286 0.123517 0.011555 -1.71916 -5.39048
0.0798198 0.0812532 0.123088 0.0117541 -1.70894 -5.49259
0.0804237 0.0818532 0.122681 0.0119031 -1.63984 -5.57562
0.081006 0.0824348 0.122295 0.0120238 -1.54561 -5.62989
0.0815671 0.082992 0.121899 0.0121173 -1.41805 -5.69309
0.0821047 0.0835254 0.121493 0.0121831 -1.28306 -5.74802
0.0826183 0.0840346 0.121082 0.0122362 -1.142 -5.7979
0.0831175 0.084531 0.120677 0.0122775 -1.00753 -5.83336
0.0835924 0.085002 0.120233 0.0122961 -0.864152 -5.8726
0.0840396 0.0854448 0.11978 0.0122984 -0.725591 -5.90313
0.0844601 0.0858606 0.119322 0.0122902 -0.587663 -5.92976
0.084862 0.086259 0.118869 0.0122533 -0.466625 -5.94144
0.0852342 0.0866269 0.118392 0.0122128 -0.328899 -5.95363
0.0855767 0.0869654 0.117903 0.0121475 -0.196485 -5.95735
0.0858996 0.0872866 0.117434 0.0120711 -0.0765687 -5.93848
0.0861905 0.0875743 0.116931 0.01197 0.0579764 -5.92514
0.086447 0.0878273 0.116427 0.0118472 0.189881 -5.89984
0.0866707 0.0880474 0.115929 0.0117096 0.324976 -5.86693
0.086874 0.0882491 0.11545 0.0115358 0.44295 -5.81187
0.0870584 0.0884307 0.115074 0.0114237 0.527979 -5.78524
0.0872399 0.0886144 0.114826 0.0113418 0.551592 -5.74471
0.0874001 0.0887721 0.114648 0.0112715 0.565921 -5.73381
0.0875495 0.0889205 0.114601 0.0112481 0.542391 -5.72619
0.0876987 0.0890714 0.114657 0.0112326 0.483942 -5.70883
0.0878301 0.0891993 0.114759 0.0112227 0.443978 -5.71988
0.0879558 0.0893256 0.114942 0.0112126 0.377736 -5.70492
0.0880632 0.0894295 0.115156 0.0112021 0.333236 -5.71164
0.088165 0.0895313 0.115437 0.0111841 0.267546 -5.6932
0.0882664 0.0896338 0.115772 0.0111712 0.204089 -5.66783
0.0883585 0.089723 0.116111 0.0111621 0.172723 -5.6674
0.0884415 0.089804 0.116486 0.0111431 0.132092 -5.65796
0.0885208 0.0898837 0.116922 0.0111319 0.0806455 -5.63046
0.0885933 0.0899532 0.117366 0.0111198 0.0538096 -5.62396
0.0886662 0.0900248 0.117846 0.0110874 0.0154938 -5.59955
0.0887255 0.0900812 0.118324 0.0110564 0.00342101 -5.58176
0.0887824 0.0901376 0.118835 0.0110195 -0.0123406 -5.54467
