setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.0855612 -0.0855943 0.0478057 -0.0478388 0.241467 -0.241485 -0.146206 0.14619 0.0243222
0.0729994 -0.0730325 0.0603675 -0.0604006 0.238098 -0.238116 -0.142074 0.142058 0.0248261
0.0604336 -0.0604667 0.0729333 -0.0729664 0.234544 -0.234563 -0.137774 0.137758 0.0253284
0.0478718 -0.0479049 0.0854951 -0.0855282 0.230811 -0.23083 -0.133309 0.133292 0.0258295
0.0353219 -0.0353549 0.0980451 -0.0980781 0.226901 -0.22692 -0.128682 0.128665 0.0263283
0.0227918 -0.0228247 0.110575 -0.110608 0.222819 -0.222838 -0.123897 0.12388 0.0268208
0.0102894 -0.0103223 0.123078 -0.123111 0.218569 -0.218588 -0.118957 0.11894 0.0273092
-0.00217732 0.00214456 0.135545 -0.135577 0.214154 -0.214173 -0.113867 0.11385 0.0277929
-0.0146006 0.0145679 0.147968 -0.148001 0.209579 -0.209599 -0.10863 0.108613 0.0282684
-0.0269725 0.02694 0.16034 -0.160372 0.204848 -0.204868 -0.103251 0.103233 0.0287365
-0.0392852 0.0392529 0.172653 -0.172685 0.199965 -0.199986 -0.0977331 0.0977148 0.0291978
-0.051531 0.0514988 0.184899 -0.184931 0.194935 -0.194956 -0.0920805 0.092062 0.0296512
-0.0637021 0.0636702 0.19707 -0.197102 0.189763 -0.189783 -0.0862975 0.0862788 0.0300971
-0.0757909 0.0757592 0.209159 -0.209191 0.184452 -0.184473 -0.0803885 0.0803695 0.0305333
-0.0877896 0.0877582 0.221158 -0.22119 0.179007 -0.179028 -0.0743576 0.0743384 0.0309595
-0.0996908 0.0996596 0.23306 -0.233091 0.173433 -0.173454 -0.0682093 0.0681899 0.0313771
-0.111487 0.111456 0.244856 -0.244887 0.167735 -0.167756 -0.0619481 0.0619285 0.0317856
-0.12317 0.12314 0.25654 -0.25657 0.161917 -0.161939 -0.0555784 0.0555586 0.0321831
-0.134734 0.134704 0.268104 -0.268134 0.155984 -0.156006 -0.0491049 0.0490849 0.032569
-0.14617 0.146141 0.279541 -0.27957 0.149941 -0.149963 -0.042532 0.0425119 0.0329432
-0.157472 0.157443 0.290843 -0.290872 0.143793 -0.143815 -0.0358646 0.0358443 0.0333053
-0.168633 0.168604 0.302004 -0.302033 0.137544 -0.137567 -0.0291074 0.029087 0.0336574
-0.179645 0.179616 0.313016 -0.313045 0.131201 -0.131223 -0.022265 0.0222445 0.0340022
-0.190501 0.190472 0.323872 -0.323901 0.124767 -0.124789 -0.0153424 0.0153217 0.0343367
-0.201194 0.201166 0.334566 -0.334594 0.118248 -0.11827 -0.00834436 0.00832347 0.0346983
-0.211719 0.211691 0.345091 -0.345119 0.11165 -0.111671 -0.00127586 0.00125464 0.0350665
-0.222068 0.222041 0.355441 -0.355468 0.104976 -0.104997 0.00585824 -0.00587981 0.0354298
