time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.092 0.0768198 -0.0573586 0.0563701 -0.0570967 0.0471154 0.0346039 -0.0348936 -0.0348178 0
0.094 0.0763764 -0.0578261 0.056809 -0.057556 0.0477006 0.035048 -0.0353522 -0.0352726 0
0.096 0.0759004 -0.0583259 0.0572808 -0.0580479 0.0482646 0.0354926 -0.0358117 -0.0357281 0
0.098 0.0753918 -0.0588581 0.0577853 -0.0585721 0.0488071 0.0359385 -0.0362726 -0.036185 0
0.1 0.0748509 -0.0594223 0.0583224 -0.0591285 0.049328 0.0363861 -0.0367356 -0.0366438 0
0.102 0.0742778 -0.0600184 0.058892 -0.0597169 0.049827 0.0368363 -0.0372013 -0.0371053 0
0.104 0.0736728 -0.0606461 0.0594937 -0.060337 0.0503039 0.0372894 -0.0376702 -0.0375699 0
0.106 0.0730361 -0.0613051 0.0601273 -0.0609884 0.0507585 0.0377462 -0.0381429 -0.0380383 0
0.108 0.0723681 -0.061995 0.0607925 -0.061671 0.0511907 0.0382071 -0.0386199 -0.038511 0
0.11 0.0716692 -0.0627155 0.061489 -0.0623842 0.0516003 0.0386727 -0.0391018 -0.0389884 0
0.112 0.0709396 -0.0634661 0.0622164 -0.0631277 0.0519871 0.0391436 -0.0395891 -0.0394712 0
0.114 0.0701799 -0.0642463 0.0629743 -0.063901 0.0523509 0.0396202 -0.0400823 -0.0399598 0
0.116 0.0693905 -0.0650557 0.0637621 -0.0647037 0.0526917 0.0401031 -0.0405817 -0.0404547 0
0.118 0.0685718 -0.0658937 0.0645795 -0.0655352 0.0530093 0.0405926 -0.041088 -0.0409563 0
0.12 0.0677245 -0.0667599 0.0654259 -0.066395 0.0533036 0.0410892 -0.0416014 -0.0414651 0
0.122 0.066849 -0.0676534 0.0663007 -0.0672824 0.0535745 0.0415935 -0.0421224 -0.0419814 0
0.124 0.0659461 -0.0685738 0.0672033 -0.068197 0.053822 0.0421057 -0.0426515 -0.0425057 0
0.126 0.0650162 -0.0695204 0.0681331 -0.0691379 0.0540459 0.0426262 -0.0431889 -0.0430384 0
0.128 0.0640602 -0.0704925 0.0690895 -0.0701045 0.0542461 0.0431555 -0.0437349 -0.0435797 0
0.13 0.0630787 -0.0714892 0.0700717 -0.0710961 0.0544228 0.0436938 -0.04429 -0.04413 0
0.132 0.0620724 -0.0725099 0.071079 -0.072112 0.0545758 0.0442415 -0.0448544 -0.0446897 4.70776e-10
0.134 0.0610421 -0.0735538 0.0721106 -0.0731513 0.0547051 0.0447989 -0.0454284 -0.0452589 1.25182e-09
0.136 0.0599886 -0.07462 0.0731657 -0.0742132 0.0548108 0.0453662 -0.0460122 -0.045838 2.02439e-09
0.138 0.0589127 -0.0757077 0.0742435 -0.0752968 0.0548928 0.0459438 -0.0466061 -0.0464271 2.7879e-09
0.14 0.0578154 -0.0768159 0.0753431 -0.0764014 0.0549513 0.0465318 -0.0472103 -0.0470266 3.54176e-09
0.142 0.0566974 -0.0779438 0.0764637 -0.0775259 0.0549862 0.0471304 -0.047825 -0.0476366 4.28533e-09
0.144 0.0555597 -0.0790904 0.0776042 -0.0786695 0.0549977 0.0477399 -0.0484503 -0.0482573 5.01794e-09
0.146 0.0544033 -0.0802547 0.0787638 -0.0798311 0.0549858 0.0483603 -0.0490864 -0.0488888 5.73891e-09
0.148 0.0532292 -0.0814358 0.0799415 -0.0810098 0.0549506 0.048992 -0.0497334 -0.0495312 6.44753e-09
0.15 0.0520382 -0.0826325 0.0811362 -0.0822046 0.0548924 0.0496349 -0.0503914 -0.0501846 7.14307e-09
0.152 0.0508315 -0.0838439 0.082347 -0.0834144 0.0548112 0.0502891 -0.0510604 -0.0508492 7.82479e-09
0.154 0.0496102 -0.0850688 0.0835727 -0.0846381 0.0547072 0.0509548 -0.0517406 -0.051525 8.49193e-09
0.156 0.0483752 -0.0863063 0.0848124 -0.0858747 0.0545805 0.0516319 -0.0524319 -0.052212 9.14375e-09
0.158 0.0471277 -0.087555 0.0860648 -0.087123 0.0544315 0.0523206 -0.0531344 -0.0529102 9.77946e-09
0.16 0.0458688 -0.088814 0.0873288 -0.088382 0.0542602 0.0530207 -0.053848 -0.0536197 1.03983e-08
0.162 0.0445996 -0.090082 0.0886033 -0.0896504 0.054067 0.0537324 -0.0545726 -0.0543403 1.09995e-08
0.164 0.0433214 -0.0913579 0.0898872 -0.090927 0.0538521 0.0544555 -0.0553083 -0.055072 1.15822e-08
0.166 0.0420352 -0.0926405 0.0911791 -0.0922108 0.0536157 0.05519 -0.056055 -0.0558148 1.21457e-08
0.168 0.0407423 -0.0939285 0.092478 -0.0935004 0.0533583 0.0559357 -0.0568125 -0.0565685 1.26893e-08
0.17 0.0394439 -0.0952207 0.0937826 -0.0947947 0.05308 0.0566927 -0.0575806 -0.057333 1.3212e-08
0.172 0.0381412 -0.0965158 0.0950916 -0.0960924 0.0527812 0.0574606 -0.0583593 -0.0581082 1.37132e-08
0.174 0.0368355 -0.0978127 0.0964038 -0.0973923 0.0524623 0.0582395 -0.0591484 -0.0588939 1.41921e-08
0.176 0.0355281 -0.09911 0.0977179 -0.0986931 0.0521236 0.0590291 -0.0599476 -0.0596899 1.46479e-08
0.178 0.0342201 -0.100406 0.0990326 -0.0999934 0.0517655 0.0598291 -0.0607568 -0.0604959 1.50799e-08
0.18 0.0329129 -0.101701 0.100347 -0.101292 0.0513885 0.0606395 -0.0615757 -0.0613119 1.54874e-08
0.182 0.0316078 -0.102992 0.101659 -0.102588 0.0509929 0.0614599 -0.062404 -0.0621374 1.58696e-08
0.184 0.0303061 -0.104278 0.102967 -0.103879 0.0505791 0.06229 -0.0632415 -0.0629722 1.62257e-08
0.186 0.0290091 -0.105558 0.104271 -0.105165 0.0501477 0.0631296 -0.0640878 -0.0638161 1.65552e-08
0.188 0.0277181 -0.10683 0.105569 -0.106444 0.0496991 0.0639784 -0.0649426 -0.0646686 1.68573e-08
0.19 0.0264344 -0.108094 0.10686 -0.107714 0.0492339 0.0648361 -0.0658057 -0.0655295 1.71313e-08
0.192 0.0251594 -0.109348 0.108142 -0.108975 0.0487524 0.0657022 -0.0666765 -0.0663985 1.73767e-08
0.194 0.0238944 -0.11059 0.109414 -0.110225 0.0482552 0.0665764 -0.0675548 -0.067275 1.75927e-08
0.196 0.0226407 -0.11182 0.110675 -0.111463 0.0477429 0.0674584 -0.0684401 -0.0681588 1.77787e-08
0.198 0.0213996 -0.113035 0.111923 -0.112687 0.047216 0.0683477 -0.069332 -0.0690493 1.79342e-08
0.2 0.0201726 -0.114235 0.113157 -0.113897 0.0466752 0.0692439 -0.07023 -0.0699463 1.80586e-08
0.202 0.0189609 -0.115418 0.114375 -0.11509 0.0461209 0.0701465 -0.0711338 -0.0708491 1.81513e-08
