setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.0315734 -0.0315998 0.1018 -0.101827 0.0715204 -0.0715467 0.0618533 -0.0618796 0
0.0215715 -0.0215978 0.111802 -0.111828 0.0615307 -0.061557 0.071843 -0.0718692 0
0.0115981 -0.0116244 0.121776 -0.121802 0.0515443 -0.0515705 0.0818294 -0.0818557 0
0.00165955 -0.00168566 0.131714 -0.13174 0.0415674 -0.0415936 0.0918063 -0.0918326 0
-0.00823797 0.00821198 0.141612 -0.141638 0.0316064 -0.0316326 0.101767 -0.101794 0
-0.0180882 0.0180623 0.151462 -0.151488 0.0216676 -0.0216937 0.111706 -0.111732 0
-0.0278848 0.0278591 0.161259 -0.161285 0.0117572 -0.0117832 0.121617 -0.121643 0
-0.0376217 0.0375961 0.170996 -0.171022 0.0018815 -0.00190744 0.131493 -0.131518 0
-0.0472927 0.0472673 0.180667 -0.180693 -0.00795326 0.00792744 0.141327 -0.141353 0
-0.0568917 0.0568665 0.190267 -0.190292 -0.0177409 0.0177152 0.151115 -0.151141 0
-0.0664126 0.0663877 0.199788 -0.199813 -0.0274751 0.0274496 0.16085 -0.160875 0
-0.0758495 0.0758248 0.209225 -0.20925 -0.0371499 0.0371246 0.170525 -0.17055 0
-0.0851964 0.0851719 0.218572 -0.218596 -0.0467592 0.046734 0.180134 -0.180159 0
-0.0944473 0.094423 0.227823 -0.227847 -0.0562967 0.0562717 0.189672 -0.189697 0
-0.103596 0.103572 0.236972 -0.236996 -0.0657566 0.0657318 0.199132 -0.199157 0
-0.112638 0.112614 0.246014 -0.246038 -0.0751328 0.0751082 0.208508 -0.208533 0
-0.121566 0.121543 0.254943 -0.254966 -0.0844194 0.0843951 0.217795 -0.217819 0
-0.130376 0.130353 0.263753 -0.263776 -0.0936106 0.0935865 0.226987 -0.227011 0
-0.139061 0.139038 0.272438 -0.272461 -0.102701 0.102677 0.236077 -0.236101 0
-0.147616 0.147593 0.280993 -0.281016 -0.111683 0.11166 0.24506 -0.245083 0
-0.156035 0.156013 0.289413 -0.289435 -0.120554 0.120531 0.253931 -0.253954 0
-0.164314 0.164292 0.297692 -0.297714 -0.129306 0.129283 0.262683 -0.262706 0
-0.172447 0.172426 0.305826 -0.305847 -0.137934 0.137911 0.271311 -0.271334 0
-0.180429 0.180408 0.313808 -0.313829 -0.146433 0.146411 0.279811 -0.279833 0
-0.188255 0.188235 0.321635 -0.321655 -0.154797 0.154775 0.288175 -0.288197 0
-0.19592 0.1959 0.3293 -0.32932 -0.163022 0.163 0.2964 -0.296422 0
-0.203419 0.203399 0.336799 -0.336819 -0.171101 0.17108 0.30448 -0.304501 0
-0.210747 0.210728 0.344128 -0.344147 -0.17903 0.17901 0.31241 -0.31243 0
-0.2179 0.217882 0.351282 -0.3513 -0.186804 0.186784 0.320184 -0.320204 0
-0.224874 0.224856 0.358256 -0.358274 -0.194418 0.194398 0.327798 -0.327818 0
-0.231663 0.231645 0.365045 -0.365063 -0.201867 0.201848 0.335248 -0.335267 0
-0.238264 0.238247 0.371647 -0.371664 -0.209146 0.209127 0.342527 -0.342546 0
-0.244672 0.244655 0.378055 -0.378072 -0.216251 0.216233 0.349633 -0.349651 0
