d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 1 2 15 1.61928 0.849754 494.522 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 1 2 15 1.31914 0.837319 491.649 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 1 2 15 1.55195 0.826076 493.792 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 1 2 15 0.395661 0.750979 488.127 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 1 2 5.206 0 0.172133 468.875 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 1 2 15 0.488839 0.702999 474.741 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 1 2 11.358 0 0.172368 483.336 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 1 2 15 1.26751 0.787604 489.343 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 1 2 15 0 0.249099 330.096 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 1 2 15 1.0882 0.847445 489.374 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 1 2 13.818 1.32709 0.173321 479.529 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 1 2 10.206 0.34618 0.169926 465.284 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 1 2 3.972 0.151071 0.168165 466.196 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 1 2 3.254 0.324786 0.172196 451.039 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 1 2 4.474 0.22876 0.170997 471.276 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 1 2 6.678 0.31399 0.171 480.957 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 1 2 15 0.12781 0.210857 208.696 
0.4 0.4 0.0667 -0.0667 0.8133 0.2067 0.2 1 2 2.24 0.185991 0.173297 445.211 
