d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 0.5 2 14.574 0 0.169592 485.443 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 0.5 2 15 0.175072 0.831524 493.097 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 0.5 2 15 0 0.844612 489.428 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 0.5 2 6.976 0.194834 0.1723 476.17 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 0.5 2 9.184 0 0.17119 470.141 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 0.5 2 15 0 0.82808 489.181 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 0.5 2 7.712 0.0334305 0.170945 471.625 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 0.5 2 15 0 0.743047 485.28 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 0.5 2 15 0 0.812936 486.987 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 0.5 2 10.73 0.133004 0.172559 478.256 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 0.5 2 15 0 0.79959 489.153 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 0.5 2 4.498 0.00712592 0.172138 448.6 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 0.5 2 15 0.0790148 0.84123 490.702 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 0.5 2 15 0.00441071 0.852557 490.275 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 0.5 2 12.846 0.125378 0.172545 479.64 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 0.5 2 5.552 0.0890971 0.171099 465.835 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 0.5 2 6.268 0.00400954 0.169641 477.703 
0.4 0.4 0.0667 -0.0667 0.8133 0.2067 0.2 0.5 2 15 0.0379229 0.781449 488.35 
0.4 0.4 0.0667 -0.0667 0.8133 0.1867 0.2 0.5 2 15 0.0966586 0.784673 489.776 
0.4 0.4 0.0667 -0.0667 0.8133 0.1667 0.2 0.5 2 3.596 0.300333 0.17285 473.273 
0.4 0.4 0.0667 -0.0667 0.7933 0.5467 0.2 0.5 2 1.712 0.116198 0.170635 435.168 
0.4 0.4 0.0667 -0.0667 0.7933 0.5267 0.2 0.5 2 15 0 0.825126 490.218 
0.4 0.4 0.0667 -0.0667 0.7933 0.5067 0.2 0.5 2 15 0 0.277888 374.905 
0.4 0.4 0.0667 -0.0667 0.7933 0.4867 0.2 0.5 2 15 0 0.849257 488.964 
0.4 0.4 0.0667 -0.0667 0.7933 0.4667 0.2 0.5 2 12.968 0 0.170108 483.123 
0.4 0.4 0.0667 -0.0667 0.7933 0.4467 0.2 0.5 2 8.544 0.0786366 0.171787 475.187 
