d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 1.1 2 6.432 0.761707 0.170982 478.829 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 1.1 2 15 1.31419 0.817903 493.513 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 1.1 2 12.522 1.22 0.168439 486.393 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 1.1 2 15 1.51326 0.671102 487.056 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 1.1 2 15 1.50846 0.826493 494.233 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 1.1 2 15 1.73398 0.812455 494 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 1.1 2 9.284 0 0.172254 483.212 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 1.1 2 15 0.78727 0.768772 489.363 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 1.1 2 15 1.70399 0.821858 492.93 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 1.1 2 15 1.65074 0.816635 489.633 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 1.1 2 15 1.45286 0.840499 493.878 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 1.1 2 15 1.82497 0.888219 494.171 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 1.1 2 15 1.76816 0.675907 490.672 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 1.1 2 15 0 0.293291 342.847 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 1.1 2 15 1.88168 0.841297 495.145 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 1.1 2 15 1.48216 0.733391 488.346 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 1.1 2 2.99 0.159519 0.164277 449.369 
0.4 0.4 0.0667 -0.0667 0.8133 0.2067 0.2 1.1 2 2.98 0.16837 0.169092 465.708 
0.4 0.4 0.0667 -0.0667 0.8133 0.1867 0.2 1.1 2 15 1.85329 0.884874 496.14 
0.4 0.4 0.0667 -0.0667 0.8133 0.1667 0.2 1.1 2 15 1.77826 0.880136 496.932 
0.4 0.4 0.0667 -0.0667 0.7933 0.5467 0.2 1.1 2 15 1.91868 0.834964 495.414 
0.4 0.4 0.0667 -0.0667 0.7933 0.5267 0.2 1.1 2 15 1.14604 0.846781 491.021 
0.4 0.4 0.0667 -0.0667 0.7933 0.5067 0.2 1.1 2 15 1.45307 0.749471 491.253 
0.4 0.4 0.0667 -0.0667 0.7933 0.4867 0.2 1.1 2 5.68 0.505533 0.172362 472.912 
0.4 0.4 0.0667 -0.0667 0.7933 0.4667 0.2 1.1 2 14.824 1.57262 0.166388 488.304 
0.4 0.4 0.0667 -0.0667 0.7933 0.4467 0.2 1.1 2 15 1.94033 0.837654 493.71 
0.4 0.4 0.0667 -0.0667 0.7933 0.4267 0.2 1.1 2 15 1.86947 0.812672 494.61 
0.4 0.4 0.0667 -0.0667 0.7933 0.4067 0.2 1.1 2 15 0.749065 0.195214 393.715 
0.4 0.4 0.0667 -0.0667 0.7933 0.3867 0.2 1.1 2 15 2.05321 0.875221 493.693 
0.4 0.4 0.0667 -0.0667 0.7933 0.3667 0.2 1.1 2 9.988 1.16583 0.162929 485.656 
0.4 0.4 0.0667 -0.0667 0.7933 0.3467 0.2 1.1 2 15 2.00067 0.870716 495.833 
0.4 0.4 0.0667 -0.0667 0.7933 0.3267 0.2 1.1 2 15 1.74002 0.750093 490.02 
0.4 0.4 0.0667 -0.0667 0.7933 0.3067 0.2 1.1 2 15 1.7483 0.87943 494.805 
0.4 0.4 0.0667 -0.0667 0.7933 0.2867 0.2 1.1 2 15 2.28719 0.913123 496.334 
0.4 0.4 0.0667 -0.0667 0.7933 0.2667 0.2 1.1 2 15 1.72877 0.834912 491.225 
0.4 0.4 0.0667 -0.0667 0.7933 0.2467 0.2 1.1 2 15 2.19261 0.897009 497.23 
0.4 0.4 0.0667 -0.0667 0.7933 0.2267 0.2 1.1 2 15 2.03913 0.875572 496.817 
0.4 0.4 0.0667 -0.0667 0.7933 0.2067 0.2 1.1 2 15 1.67905 0.864803 494.942 
0.4 0.4 0.0667 -0.0667 0.7933 0.1867 0.2 1.1 2 15 1.29184 0.885458 493.938 
0.4 0.4 0.0667 -0.0667 0.7933 0.1667 0.2 1.1 2 2.316 0.105407 0.171322 423.718 
0.4 0.4 0.0667 -0.0667 0.7733 0.5467 0.2 1.1 2 15 1.51535 0.273713 463.017 
0.4 0.4 0.0667 -0.0667 0.7733 0.5267 0.2 1.1 2 15 1.82974 0.851776 494.966 
0.4 0.4 0.0667 -0.0667 0.7733 0.5067 0.2 1.1 2 15 1.42921 0.820619 489.374 
0.4 0.4 0.0667 -0.0667 0.7733 0.4867 0.2 1.1 2 15 1.90715 0.858977 495.813 
0.4 0.4 0.0667 -0.0667 0.7733 0.4667 0.2 1.1 2 15 1.97007 0.834342 494.557 
0.4 0.4 0.0667 -0.0667 0.7733 0.4467 0.2 1.1 2 11.196 0.871767 0.165939 480.38 
0.4 0.4 0.0667 -0.0667 0.7733 0.4267 0.2 1.1 2 15 1.88445 0.783792 494.258 
0.4 0.4 0.0667 -0.0667 0.7733 0.4067 0.2 1.1 2 5.922 0.394313 0.163531 465.983 
0.4 0.4 0.0667 -0.0667 0.7733 0.3867 0.2 1.1 2 15 2.27902 0.880376 496.37 
0.4 0.4 0.0667 -0.0667 0.7733 0.3667 0.2 1.1 2 15 2.21399 0.869818 496.443 
0.4 0.4 0.0667 -0.0667 0.7733 0.3467 0.2 1.1 2 15 1.22856 0.192438 372.749 
0.4 0.4 0.0667 -0.0667 0.7733 0.3267 0.2 1.1 2 15 2.25631 0.889353 496.582 
0.4 0.4 0.0667 -0.0667 0.7733 0.3067 0.2 1.1 2 15 2.33615 0.893851 496.098 
0.4 0.4 0.0667 -0.0667 0.7733 0.2867 0.2 1.1 2 15 2.27463 0.913753 497.357 
0.4 0.4 0.0667 -0.0667 0.7733 0.2667 0.2 1.1 2 15 1.32573 0.865471 492.758 
0.4 0.4 0.0667 -0.0667 0.7733 0.2467 0.2 1.1 2 15 2.01457 0.896676 497.162 
0.4 0.4 0.0667 -0.0667 0.7733 0.2267 0.2 1.1 2 2.018 0.175656 0.171028 453.995 
0.4 0.4 0.0667 -0.0667 0.7733 0.2067 0.2 1.1 2 2.716 0.123703 0.173304 454.439 
0.4 0.4 0.0667 -0.0667 0.7733 0.1867 0.2 1.1 2 15 1.66331 0.876605 496.808 
0.4 0.4 0.0667 -0.0667 0.7733 0.1667 0.2 1.1 2 15 1.54605 0.870764 496.858 
0.4 0.4 0.0667 -0.0667 0.7533 0.5467 0.2 1.1 2 13.192 0.811352 0.172366 486.606 
0.4 0.4 0.0667 -0.0667 0.7533 0.5267 0.2 1.1 2 15 1.41661 0.851246 494.557 
0.4 0.4 0.0667 -0.0667 0.7533 0.5067 0.2 1.1 2 15 1.42026 0.854989 495.288 
0.4 0.4 0.0667 -0.0667 0.7533 0.4867 0.2 1.1 2 15 1.29435 0.832815 494.373 
0.4 0.4 0.0667 -0.0667 0.7533 0.4667 0.2 1.1 2 15 1.38355 0.830336 492.739 
0.4 0.4 0.0667 -0.0667 0.7533 0.4467 0.2 1.1 2 15 1.95196 0.867778 496.12 
0.4 0.4 0.0667 -0.0667 0.7533 0.4267 0.2 1.1 2 15 1.17476 0.87123 494.983 
0.4 0.4 0.0667 -0.0667 0.7533 0.4067 0.2 1.1 2 15 2.30282 0.877165 496.588 
0.4 0.4 0.0667 -0.0667 0.7533 0.3867 0.2 1.1 2 15 2.08408 0.884229 496.487 
0.4 0.4 0.0667 -0.0667 0.7533 0.3667 0.2 1.1 2 15 2.22595 0.875933 496.783 
0.4 0.4 0.0667 -0.0667 0.7533 0.3467 0.2 1.1 2 15 1.73835 0.820427 493.859 
0.4 0.4 0.0667 -0.0667 0.7533 0.3267 0.2 1.1 2 15 2.34621 0.886307 497.017 
0.4 0.4 0.0667 -0.0667 0.7533 0.3067 0.2 1.1 2 15 1.99356 0.896702 496.583 
0.4 0.4 0.0667 -0.0667 0.7533 0.2867 0.2 1.1 2 2.846 0.185801 0.165762 452.246 
0.4 0.4 0.0667 -0.0667 0.7533 0.2667 0.2 1.1 2 15 0 0.174075 254.857 
0.4 0.4 0.0667 -0.0667 0.7533 0.2467 0.2 1.1 2 15 1.8419 0.890956 497.026 
0.4 0.4 0.0667 -0.0667 0.7533 0.2267 0.2 1.1 2 2.944 0.0989273 0.172975 467.127 
0.4 0.4 0.0667 -0.0667 0.7533 0.2067 0.2 1.1 2 15 1.44592 0.772748 492.778 
0.4 0.4 0.0667 -0.0667 0.7533 0.1867 0.2 1.1 2 15 1.51248 0.865918 495.99 
