d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 0.6 2 15 0 0.867958 488.092 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 0.6 2 3.114 0.24235 0.170573 460.939 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 0.6 2 15 0 0.883339 489.042 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 0.6 2 15 0.0347133 0.773602 487.619 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 0.6 2 3.774 0.147105 0.167207 468.027 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 0.6 2 9.222 0.0536905 0.173473 476.876 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 0.6 2 2.672 0 0.171377 458.532 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 0.6 2 11.73 0 0.173593 478.366 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 0.6 2 7.056 0 0.17043 477.239 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 0.6 2 4.956 0.164173 0.168225 470.469 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 0.6 2 15 0.0176665 0.830978 488.152 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 0.6 2 12.234 0.150486 0.173205 480.303 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 0.6 2 4.75 0 0.172062 472.282 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 0.6 2 1.984 0.0968382 0.173018 418.709 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 0.6 2 15 0.263714 0.825361 486.482 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 0.6 2 1.52 0 0.171375 439.848 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 0.6 2 15 0.0212365 0.853296 487.981 
