setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.0886706 -0.088687 0.044713 -0.0447294 0.147247 -0.147253 -0.0535478 0.0535406 0.0254467
0.0824056 -0.0824221 0.0509779 -0.0509944 0.14595 -0.145956 -0.0514573 0.0514499 0.0260131
0.0761306 -0.0761471 0.0572529 -0.0572694 0.144553 -0.14456 -0.0492831 0.0492755 0.0265779
0.0698497 -0.0698662 0.0635338 -0.0635503 0.143059 -0.143066 -0.0470268 0.047019 0.0271412
0.0635668 -0.0635834 0.0698166 -0.0698332 0.14147 -0.141477 -0.04469 0.044682 0.0277039
0.0572859 -0.0573024 0.0760976 -0.0761141 0.139786 -0.139793 -0.0422742 0.0422661 0.0282639
0.051011 -0.0510275 0.0823725 -0.082389 0.13801 -0.138018 -0.0397813 0.039773 0.0288213
0.0447459 -0.0447624 0.0886376 -0.0886541 0.136145 -0.136153 -0.037213 0.0372045 0.0293756
0.0384947 -0.0385111 0.0948889 -0.0949053 0.134192 -0.1342 -0.034571 0.0345623 0.029928
0.0322613 -0.0322777 0.101122 -0.101139 0.132153 -0.132162 -0.0318572 0.0318483 0.0304799
0.0260497 -0.026066 0.107334 -0.10735 0.130031 -0.13004 -0.0290734 0.0290644 0.0310291
0.0198638 -0.01988 0.11352 -0.113536 0.127828 -0.127837 -0.0262216 0.0262124 0.0315754
0.0137074 -0.0137236 0.119676 -0.119693 0.125546 -0.125554 -0.0233037 0.0232943 0.0321212
0.00758451 -0.00760058 0.125799 -0.125815 0.123186 -0.123195 -0.0203217 0.0203121 0.0326643
0.00149895 -0.00151491 0.131885 -0.131901 0.120753 -0.120762 -0.0172776 0.0172679 0.033205
-0.00454543 0.00452958 0.13793 -0.137945 0.118247 -0.118256 -0.0141735 0.0141637 0.0337458
-0.0105448 0.0105291 0.143929 -0.143945 0.115671 -0.11568 -0.0110115 0.0110016 0.0342839
-0.0164954 0.0164798 0.14988 -0.149895 0.113028 -0.113037 -0.00779374 0.00778369 0.0348225
-0.0223935 0.022378 0.155778 -0.155793 0.110319 -0.110329 -0.00452237 0.00451221 0.0353596
-0.0282352 0.0282199 0.16162 -0.161635 0.107548 -0.107558 -0.00119959 0.00118931 0.0358926
