distance x y z pitch roll
0.0433023 0.0448226 0.126371 0.00367205 -3.29953 -1.8386
0.043888 0.045408 0.126211 0.00361213 -3.26441 -1.81597
0.0444654 0.0459853 0.12608 0.00356157 -3.23061 -1.79438
0.0450409 0.0465608 0.12596 0.00352285 -3.19695 -1.77726
0.0456188 0.0471388 0.125825 0.00349459 -3.1692 -1.77168
0.046184 0.047704 0.125706 0.00347647 -3.14902 -1.76376
0.0467453 0.0482655 0.125583 0.0034773 -3.13985 -1.76789
0.0472969 0.048817 0.125466 0.00348427 -3.13185 -1.77082
0.0478462 0.0493664 0.125342 0.00350672 -3.13163 -1.78409
0.0483873 0.0499073 0.125214 0.0035252 -3.12703 -1.79259
0.0489222 0.0504422 0.12509 0.00355372 -3.12839 -1.80549
0.0494564 0.0509764 0.124962 0.00359957 -3.14087 -1.82882
0.0499826 0.0515025 0.124838 0.00365712 -3.16193 -1.85654
0.050501 0.0520208 0.124722 0.00372215 -3.18539 -1.88563
0.0510179 0.0525377 0.124603 0.00380179 -3.21613 -1.9245
0.0515286 0.0530482 0.124493 0.0038883 -3.24903 -1.96327
0.0520381 0.0535576 0.124384 0.00398268 -3.28316 -2.00598
0.0525496 0.0540691 0.124274 0.00409073 -3.32472 -2.05763
0.0530572 0.0545767 0.124167 0.00420674 -3.37168 -2.11174
0.0535599 0.0550793 0.124069 0.00433459 -3.42635 -2.17091
0.0540577 0.055577 0.12398 0.00447034 -3.48346 -2.23201
0.0545554 0.0560745 0.123895 0.00461449 -3.54171 -2.29729
0.0550561 0.0565753 0.12381 0.00477279 -3.60724 -2.37217
0.055554 0.0570734 0.123732 0.00494145 -3.67913 -2.45034
0.0560494 0.0575688 0.123661 0.00512118 -3.75673 -2.5331
0.0565418 0.0580612 0.123599 0.00530801 -3.83547 -2.61684
0.0570362 0.058556 0.123538 0.00550871 -3.92068 -2.71093
0.0575282 0.0590481 0.123486 0.00571581 -4.00716 -2.80365
0.0580226 0.0595431 0.123435 0.00593655 -4.10024 -2.90687
0.0585154 0.0600364 0.123391 0.00616804 -4.19904 -3.01281
0.0590063 0.0605276 0.123356 0.00640605 -4.29873 -3.11882
0.0594997 0.0610223 0.123321 0.0066583 -4.40544 -3.23867
0.0599922 0.0615157 0.123292 0.00692111 -4.51782 -3.35873
0.0604834 0.062008 0.123271 0.00719528 -4.63572 -3.48322
0.0609734 0.0624988 0.123259 0.00747601 -4.75389 -3.60746
0.061466 0.0629938 0.123246 0.00777169 -4.87965 -3.74863
0.0619581 0.0634881 0.123239 0.00807821 -5.01123 -3.88968
0.0624495 0.0639814 0.123239 0.00839632 -5.14803 -4.03349
0.06294 0.0644737 0.123247 0.00872103 -5.28433 -4.1762
0.0634331 0.0649707 0.123254 0.00906133 -5.4286 -4.33866
