distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
1.53987e-07 0 0 0 0 0 0 0 0
6.24359e-07 0 0 0 0 0 0 0 0
4.70358e-07 0 0 0 0 0 0 0 0
4.60246e-07 0 0 0 0 0 0 0 0
5.03648e-07 0 0 0 0 0 0 0 0
5.67548e-07 0 0 0 0 0 0 0 0
6.2347e-07 0 0 0 0 0 0 0 0
6.44184e-07 0 0 0 0 0 0 0 0
6.46472e-07 0 0 0 0 0 0 0 0
6.37709e-07 0 0 0 0 0 0 0 0
6.22092e-07 0 0 0 0 0 0 0 0
6.02573e-07 0 0 0 0 0 0 0 0
5.81298e-07 0 0 0 0 0 0 0 0
5.5975e-07 0 0 0 0 0 0 0 0
5.38864e-07 0 0 0 0 0 0 0 0
5.19154e-07 0 0 0 0 0 0 0 0
5.00821e-07 0 0 0 0 0 0 0 0
4.83861e-07 0 0 0 0 0 0 0 0
4.66584e-07 0 0 0 0 0 0 0 0
4.37628e-07 0 0 0 0 0 0 0 0
4.07119e-07 0 0 0 0 0 0 0 0
3.78373e-07 0 0 0 0 0 0 0 0
3.5237e-07 0 0 0 0 0 0 0 0
3.29273e-07 0 0 0 0 0 0 0 0
3.08912e-07 0 0 0 0 0 0 0 0
2.90984e-07 0 0 0 0 0 0 0 0
2.75148e-07 0 0 0 0 0 0 0 0
2.54295e-07 0 0 0 0 0 0 0 0
2.07563e-07 0 0 0 0 0 0 0 0
1.49246e-07 0 0 0 0 0 0 0 0
8.87774e-08 0 0 0 0 0 0 0 0
3.20209e-08 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
