setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.0717395 -0.071766 0.061634 -0.0616605 0.200082 -0.200097 -0.104056 0.104042 0
0.0616869 -0.0617134 0.0716866 -0.0717131 0.197315 -0.197329 -0.100541 0.100527 0
0.0516375 -0.0516639 0.0817361 -0.0817625 0.194401 -0.194416 -0.0968957 0.0968811 0
0.0415975 -0.0416239 0.0917761 -0.0918025 0.191345 -0.19136 -0.0931222 0.0931074 0
0.0315734 -0.0315998 0.1018 -0.101827 0.18815 -0.188165 -0.0892238 0.0892088 0
0.0215715 -0.0215978 0.111802 -0.111828 0.184818 -0.184833 -0.0852033 0.085188 0
0.0115981 -0.0116244 0.121776 -0.121802 0.181354 -0.181369 -0.0810637 0.0810482 0
0.00165955 -0.00168566 0.131714 -0.13174 0.17776 -0.177775 -0.0768082 0.0767925 0
-0.00823797 0.00821198 0.141612 -0.141638 0.17404 -0.174056 -0.0724398 0.0724239 0
-0.0180882 0.0180623 0.151462 -0.151488 0.170197 -0.170213 -0.0679617 0.0679456 0
-0.0278848 0.0278591 0.161259 -0.161285 0.166236 -0.166252 -0.0633773 0.063361 0
-0.0376217 0.0375961 0.170996 -0.171022 0.162158 -0.162175 -0.0586899 0.0586734 0
-0.0472927 0.0472673 0.180667 -0.180693 0.157969 -0.157986 -0.0539027 0.0538861 0
-0.0568917 0.0568665 0.190267 -0.190292 0.153672 -0.153689 -0.0490194 0.0490025 0
-0.0664126 0.0663877 0.199788 -0.199813 0.149271 -0.149287 -0.0440432 0.0440262 0
-0.0758495 0.0758248 0.209225 -0.20925 0.144768 -0.144785 -0.0389779 0.0389607 0
-0.0851964 0.0851719 0.218572 -0.218596 0.140169 -0.140186 -0.0338269 0.0338096 0
-0.0944473 0.094423 0.227823 -0.227847 0.135477 -0.135494 -0.0285939 0.0285765 0
-0.103596 0.103572 0.236972 -0.236996 0.130695 -0.130713 -0.0232826 0.023265 0
-0.112638 0.112614 0.246014 -0.246038 0.125828 -0.125846 -0.0178967 0.017879 0
-0.121566 0.121543 0.254943 -0.254966 0.120881 -0.120898 -0.0124399 0.0124221 0
-0.130376 0.130353 0.263753 -0.263776 0.115855 -0.115873 -0.00691607 0.00689817 0
-0.139061 0.139038 0.272438 -0.272461 0.110757 -0.110775 -0.00132901 0.00131101 0
-0.147616 0.147593 0.280993 -0.281016 0.10559 -0.105608 0.00431742 -0.00433551 0
-0.156035 0.156013 0.289413 -0.289435 0.100357 -0.100375 0.0100193 -0.0100375 0
-0.164314 0.164292 0.297692 -0.297714 0.0950638 -0.095082 0.0157728 -0.015791 0
-0.172447 0.172426 0.305826 -0.305847 0.0897136 -0.0897319 0.0215738 -0.0215921 0
-0.180429 0.180408 0.313808 -0.313829 0.0843107 -0.0843291 0.0274185 -0.0274368 0
-0.188255 0.188235 0.321635 -0.321655 0.0788594 -0.0788778 0.0333028 -0.0333212 0
-0.19592 0.1959 0.3293 -0.32932 0.0733639 -0.0733823 0.0392227 -0.0392411 0
-0.203419 0.203399 0.336799 -0.336819 0.0678282 -0.0678467 0.0451742 -0.0451927 0
-0.210747 0.210728 0.344128 -0.344147 0.0622567 -0.0622752 0.0511533 -0.0511717 0
-0.2179 0.217882 0.351282 -0.3513 0.0566536 -0.0566721 0.0571558 -0.0571743 0
-0.224874 0.224856 0.358256 -0.358274 0.0510231 -0.0510415 0.0631778 -0.0631963 0
-0.231663 0.231645 0.365045 -0.365063 0.0453694 -0.0453878 0.0692152 -0.0692336 0
-0.238264 0.238247 0.371647 -0.371664 0.0396967 -0.0397151 0.0752638 -0.0752822 0
-0.244672 0.244655 0.378055 -0.378072 0.0340093 -0.0340277 0.0813196 -0.081338 0
-0.250883 0.250867 0.384267 -0.384283 0.0283115 -0.0283298 0.0873785 -0.0873969 0
-0.256894 0.256879 0.390279 -0.390294 0.0226074 -0.0226256 0.0934365 -0.0934548 0
-0.262701 0.262686 0.396086 -0.396101 0.0169012 -0.0169194 0.0994895 -0.0995077 0
-0.268299 0.268285 0.401685 -0.401699 0.0111972 -0.0112153 0.105533 -0.105552 1.52891e-08
-0.273686 0.273672 0.407072 -0.407086 0.00549958 -0.00551759 0.111564 -0.111582 2.98868e-08
-0.278858 0.278845 0.412245 -0.412258 -0.000187565 0.000169653 0.117578 -0.117596 4.05466e-08
