time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.088 0.0407684 -0.0777783 0.0556095 -0.0555624 0.0310428 0.0337188 -0.045934 -0.033709 0.0110295
0.09 0.0403008 -0.077403 0.0559839 -0.0559331 0.031228 0.0341641 -0.0465633 -0.0341535 0.0114358
0.092 0.0398542 -0.0769946 0.0563914 -0.0563366 0.0314005 0.0346087 -0.0471719 -0.0345971 0.0118455
0.094 0.0394296 -0.0765532 0.056832 -0.0567729 0.031561 0.0350532 -0.0477595 -0.0350407 0.0122584
0.096 0.0390279 -0.0760788 0.0573054 -0.057242 0.0317103 0.0354982 -0.0483258 -0.0354847 0.012674
0.098 0.03865 -0.0755715 0.0578117 -0.0577438 0.0318491 0.0359445 -0.0488707 -0.0359299 0.0130935
0.1 0.0382966 -0.0750316 0.0583507 -0.058278 0.0319781 0.0363927 -0.0493939 -0.0363768 0.0135154
0.102 0.0379687 -0.0744591 0.0589221 -0.0588445 0.0320979 0.0368433 -0.0498951 -0.0368262 0.0139409
0.104 0.0376671 -0.0738544 0.0595258 -0.0594431 0.0322092 0.0372969 -0.0503743 -0.0372785 0.0143689
0.106 0.0373925 -0.0732177 0.0601614 -0.0600735 0.0323129 0.0377542 -0.0508311 -0.0377344 0.0147992
0.108 0.0371458 -0.0725492 0.0608287 -0.0607354 0.0324095 0.0382157 -0.0512654 -0.0381944 0.0152315
0.11 0.0369276 -0.0718494 0.0615274 -0.0614284 0.0324998 0.0386819 -0.0516771 -0.0386591 0.0156657
0.112 0.0367386 -0.0711186 0.062257 -0.0621523 0.0325846 0.0391534 -0.0520659 -0.039129 0.0161014
0.114 0.0365797 -0.0703573 0.0630171 -0.0629065 0.0326645 0.0396307 -0.0524317 -0.0396045 0.0165386
0.116 0.0364513 -0.0695659 0.0638073 -0.0636906 0.0327402 0.0401142 -0.0527743 -0.0400863 0.0169769
0.118 0.0363541 -0.0687448 0.0646271 -0.0645042 0.0328124 0.0406045 -0.0530937 -0.0405746 0.0174161
0.12 0.0362888 -0.0678947 0.0654759 -0.0653466 0.0328819 0.0411019 -0.0533897 -0.04107 0.0178559
0.122 0.0362559 -0.0670161 0.0663532 -0.0662175 0.0329494 0.0416069 -0.0536622 -0.041573 0.0182962
