amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle stability
0.2 0.2 0.0667 -0.0667 0.7933 0.1867 0.2 0.8 2 15 0.349921 0.800444 486.652 
0.2 0.2 0.0667 -0.0667 0.7933 0.1667 0.2 0.8 2 15 0.383149 0.795323 484.35 
0.2 0.2 0.0667 -0.0667 0.7733 0.5467 0.2 0.8 2 10.934 0.11037 0.154449 479.924 
0.2 0.2 0.0667 -0.0667 0.7733 0.5267 0.2 0.8 2 15 0.393006 0.791034 483.043 
0.2 0.2 0.0667 -0.0667 0.7733 0.5067 0.2 0.8 2 1.73 0 0.168845 440.19 
0.2 0.2 0.0667 -0.0667 0.7733 0.4867 0.2 0.8 2 1.668 0.0101892 0.173236 443.529 
0.2 0.2 0.0667 -0.0667 0.7733 0.4667 0.2 0.8 2 1.768 0 0.161258 439.582 
0.2 0.2 0.0667 -0.0667 0.7733 0.4467 0.2 0.8 2 15 0.355408 0.777255 483.069 
0.2 0.2 0.0667 -0.0667 0.7733 0.4267 0.2 0.8 2 15 0.087043 0.793405 484.112 
0.2 0.2 0.0667 -0.0667 0.7733 0.4067 0.2 0.8 2 15 0.317383 0.759997 483.694 
0.2 0.2 0.0667 -0.0667 0.7733 0.3867 0.2 0.8 2 15 0.301147 0.80011 486.919 
0.2 0.2 0.0667 -0.0667 0.7733 0.3667 0.2 0.8 2 15 0.108483 0.761034 485.207 
0.2 0.2 0.0667 -0.0667 0.7733 0.3467 0.2 0.8 2 13.252 0.257648 0.173571 481.931 
0.2 0.2 0.0667 -0.0667 0.7733 0.3267 0.2 0.8 2 15 0.130378 0.797889 486.718 
0.2 0.2 0.0667 -0.0667 0.7733 0.3067 0.2 0.8 2 15 0.125405 0.796155 485.494 
0.2 0.2 0.0667 -0.0667 0.7733 0.2867 0.2 0.8 2 15 0.478363 0.813216 486.001 
0.2 0.2 0.0667 -0.0667 0.7733 0.2667 0.2 0.8 2 15 0.308744 0.795527 486.594 
0.2 0.2 0.0667 -0.0667 0.7733 0.2467 0.2 0.8 2 15 0.229649 0.812958 486.094 
0.2 0.2 0.0667 -0.0667 0.7733 0.2267 0.2 0.8 2 15 0.293531 0.822056 485.656 
0.2 0.2 0.0667 -0.0667 0.7733 0.2067 0.2 0.8 2 12.364 0.43955 0.167533 477.693 
