"stability"	"duration"	"distance"	"speed"	"amplitudeHip"	"amplitudeForeKnee"	"amplitudeHindKnee"
"stability"	1	0.886494818896839	0.814306763417951	0.30592144150869	-0.606368919125984	-0.183802127107793	0.0449752146004885
"duration"	0.886494818896839	1	0.726123923502972	0.108952189115638	-0.736579825263368	-0.0510635415984542	0.0223214100805653
"distance"	0.814306763417951	0.726123923502972	1	0.704774937484935	-0.4247990479377	-0.277735914701043	0.0570627686873165
"speed"	0.30592144150869	0.108952189115638	0.704774937484935	1	0.0988636781195776	-0.322521247386376	0.0344521417545561
"amplitudeHip"	-0.606368919125984	-0.736579825263368	-0.4247990479377	0.0988636781195776	1	0	0
"amplitudeForeKnee"	-0.183802127107793	-0.0510635415984542	-0.277735914701043	-0.322521247386376	0	1	0
"amplitudeHindKnee"	0.0449752146004885	0.0223214100805653	0.0570627686873165	0.0344521417545561	0	0	1
