d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.3 0.3 0.0667 -0.0667 0.8133 0.5467 0.2 0.8 2 15 0.406694 0.811107 488.281 
0.3 0.3 0.0667 -0.0667 0.8133 0.5267 0.2 0.8 2 15 0.30463 0.837517 485.944 
0.3 0.3 0.0667 -0.0667 0.8133 0.5067 0.2 0.8 2 15 0.695939 0.752943 479.237 
0.3 0.3 0.0667 -0.0667 0.8133 0.4867 0.2 0.8 2 15 0.38406 0.798389 486.563 
0.3 0.3 0.0667 -0.0667 0.8133 0.4667 0.2 0.8 2 5.552 0.151846 0.166622 472.513 
0.3 0.3 0.0667 -0.0667 0.8133 0.4467 0.2 0.8 2 8.39 0.37712 0.164522 477.259 
0.3 0.3 0.0667 -0.0667 0.8133 0.4267 0.2 0.8 2 2.49 0.00563454 0.172864 452.101 
0.3 0.3 0.0667 -0.0667 0.8133 0.4067 0.2 0.8 2 3.296 0.0298957 0.166884 464.226 
0.3 0.3 0.0667 -0.0667 0.8133 0.3867 0.2 0.8 2 15 0.370863 0.794708 487.468 
0.3 0.3 0.0667 -0.0667 0.8133 0.3667 0.2 0.8 2 6.218 0.332252 0.173482 463.386 
0.3 0.3 0.0667 -0.0667 0.8133 0.3467 0.2 0.8 2 11.902 0.0958444 0.169145 478.868 
0.3 0.3 0.0667 -0.0667 0.8133 0.3267 0.2 0.8 2 3.522 0.10935 0.171747 467.09 
0.3 0.3 0.0667 -0.0667 0.8133 0.3067 0.2 0.8 2 5.36 0 0.172465 468.204 
0.3 0.3 0.0667 -0.0667 0.8133 0.2867 0.2 0.8 2 15 0.367749 0.825692 485.196 
0.3 0.3 0.0667 -0.0667 0.8133 0.2667 0.2 0.8 2 7.634 0.17166 0.166027 476.95 
0.3 0.3 0.0667 -0.0667 0.8133 0.2467 0.2 0.8 2 15 0.364858 0.864233 488.909 
0.3 0.3 0.0667 -0.0667 0.8133 0.2267 0.2 0.8 2 15 0.156656 0.830167 486.442 
0.3 0.3 0.0667 -0.0667 0.8133 0.2067 0.2 0.8 2 15 0.507357 0.792745 487.041 
0.3 0.3 0.0667 -0.0667 0.8133 0.1867 0.2 0.8 2 15 0.622523 0.790484 485.946 
0.3 0.3 0.0667 -0.0667 0.8133 0.1667 0.2 0.8 2 15 0.339754 0.816698 487.214 
0.3 0.3 0.0667 -0.0667 0.7933 0.5467 0.2 0.8 2 11.358 0.308837 0.166884 477.328 
0.3 0.3 0.0667 -0.0667 0.7933 0.5267 0.2 0.8 2 3.71 0.110606 0.162305 462.588 
0.3 0.3 0.0667 -0.0667 0.7933 0.5067 0.2 0.8 2 2.502 0.0916538 0.173675 453.522 
0.3 0.3 0.0667 -0.0667 0.7933 0.4867 0.2 0.8 2 8.604 0.210094 0.16505 475.478 
0.3 0.3 0.0667 -0.0667 0.7933 0.4667 0.2 0.8 2 7.944 0.0573212 0.162233 471.64 
0.3 0.3 0.0667 -0.0667 0.7933 0.4467 0.2 0.8 2 11.38 0.408493 0.169477 478.546 
0.3 0.3 0.0667 -0.0667 0.7933 0.4267 0.2 0.8 2 3.56 0.0234101 0.169281 461.891 
0.3 0.3 0.0667 -0.0667 0.7933 0.4067 0.2 0.8 2 15 0.247603 0.771258 485.059 
0.3 0.3 0.0667 -0.0667 0.7933 0.3867 0.2 0.8 2 6.244 0.113129 0.172711 478.59 
0.3 0.3 0.0667 -0.0667 0.7933 0.3667 0.2 0.8 2 9.978 0.51274 0.173341 472.239 
0.3 0.3 0.0667 -0.0667 0.7933 0.3467 0.2 0.8 2 14.77 0.323167 0.169279 480.182 
0.3 0.3 0.0667 -0.0667 0.7933 0.3267 0.2 0.8 2 15 0.55387 0.786644 485.672 
0.3 0.3 0.0667 -0.0667 0.7933 0.3067 0.2 0.8 2 7.174 0.0461476 0.172966 477.128 
0.3 0.3 0.0667 -0.0667 0.7933 0.2867 0.2 0.8 2 15 0 0.862795 488.905 
0.3 0.3 0.0667 -0.0667 0.7933 0.2667 0.2 0.8 2 15 0.298501 0.824238 486.3 
0.3 0.3 0.0667 -0.0667 0.7933 0.2467 0.2 0.8 2 3.654 0.120423 0.168787 454.345 
0.3 0.3 0.0667 -0.0667 0.7933 0.2267 0.2 0.8 2 15 0.450762 0.790395 484.686 
0.3 0.3 0.0667 -0.0667 0.7933 0.2067 0.2 0.8 2 15 0.530278 0.781739 487.614 
0.3 0.3 0.0667 -0.0667 0.7933 0.1867 0.2 0.8 2 15 0.0979651 0.797625 487.199 
