d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.6 0.6 0.0667 -0.0667 0.8133 0.5467 0.2 0.8 2 1.086 0 0.169247 437.45 
0.6 0.6 0.0667 -0.0667 0.8133 0.5267 0.2 0.8 2 1.076 0 0.173417 435.754 
0.6 0.6 0.0667 -0.0667 0.8133 0.5067 0.2 0.8 2 1.072 0 0.173361 437.948 
0.6 0.6 0.0667 -0.0667 0.8133 0.4867 0.2 0.8 2 1.328 0.214418 0.166607 461.772 
0.6 0.6 0.0667 -0.0667 0.8133 0.4667 0.2 0.8 2 5.932 0.204818 0.16892 462.031 
0.6 0.6 0.0667 -0.0667 0.8133 0.4467 0.2 0.8 2 1.598 0.244704 0.169555 403.244 
0.6 0.6 0.0667 -0.0667 0.8133 0.4267 0.2 0.8 2 1.08 0 0.16293 436.356 
0.6 0.6 0.0667 -0.0667 0.8133 0.4067 0.2 0.8 2 1.48 0.286802 0.171349 406.419 
0.6 0.6 0.0667 -0.0667 0.8133 0.3867 0.2 0.8 2 1.07 0 0.171456 433.827 
0.6 0.6 0.0667 -0.0667 0.8133 0.3667 0.2 0.8 2 1.482 0.0105087 0.164633 430.011 
0.6 0.6 0.0667 -0.0667 0.8133 0.3467 0.2 0.8 2 1.5 0 0.16427 431.038 
0.6 0.6 0.0667 -0.0667 0.8133 0.3267 0.2 0.8 2 1.288 0.0364495 0.173419 459.475 
0.6 0.6 0.0667 -0.0667 0.8133 0.3067 0.2 0.8 2 1.282 0.0202334 0.169734 457.367 
0.6 0.6 0.0667 -0.0667 0.8133 0.2867 0.2 0.8 2 1.428 0 0.169069 438.167 
0.6 0.6 0.0667 -0.0667 0.8133 0.2667 0.2 0.8 2 1.47 0 0.173205 433.515 
0.6 0.6 0.0667 -0.0667 0.8133 0.2467 0.2 0.8 2 1.218 0.217146 0.169351 451.035 
0.6 0.6 0.0667 -0.0667 0.8133 0.2267 0.2 0.8 2 1.556 0.0934324 0.166277 429.058 
0.6 0.6 0.0667 -0.0667 0.8133 0.2067 0.2 0.8 2 1.352 0.142122 0.164066 434.19 
0.6 0.6 0.0667 -0.0667 0.8133 0.1867 0.2 0.8 2 1.5 0 0.157619 434.792 
0.6 0.6 0.0667 -0.0667 0.8133 0.1667 0.2 0.8 2 3.318 0.316872 0.168298 469.766 
0.6 0.6 0.0667 -0.0667 0.7933 0.5467 0.2 0.8 2 1.35 0.148815 0.172923 440.817 
0.6 0.6 0.0667 -0.0667 0.7933 0.5267 0.2 0.8 2 1.622 0 0.168987 395.291 
0.6 0.6 0.0667 -0.0667 0.7933 0.5067 0.2 0.8 2 1.358 0.0136475 0.169788 430.438 
0.6 0.6 0.0667 -0.0667 0.7933 0.4867 0.2 0.8 2 1.328 0 0.173361 401.272 
0.6 0.6 0.0667 -0.0667 0.7933 0.4667 0.2 0.8 2 1.258 0 0.16524 424.728 
0.6 0.6 0.0667 -0.0667 0.7933 0.4467 0.2 0.8 2 1.304 0 0.17042 401.724 
0.6 0.6 0.0667 -0.0667 0.7933 0.4267 0.2 0.8 2 1.206 0 0.169922 413.496 
0.6 0.6 0.0667 -0.0667 0.7933 0.4067 0.2 0.8 2 1.228 0 0.167865 422.354 
0.6 0.6 0.0667 -0.0667 0.7933 0.3867 0.2 0.8 2 1.474 0 0.157975 433.863 
0.6 0.6 0.0667 -0.0667 0.7933 0.3667 0.2 0.8 2 1.314 0.0540304 0.171831 459.869 
0.6 0.6 0.0667 -0.0667 0.7933 0.3467 0.2 0.8 2 1.28 0.072314 0.1709 461.259 
0.6 0.6 0.0667 -0.0667 0.7933 0.3267 0.2 0.8 2 1.476 0 0.159381 432.894 
0.6 0.6 0.0667 -0.0667 0.7933 0.3067 0.2 0.8 2 1.338 0.143271 0.169146 456.285 
0.6 0.6 0.0667 -0.0667 0.7933 0.2867 0.2 0.8 2 1.44 0 0.170237 451.143 
0.6 0.6 0.0667 -0.0667 0.7933 0.2667 0.2 0.8 2 3.154 0 0.16725 454.851 
0.6 0.6 0.0667 -0.0667 0.7933 0.2467 0.2 0.8 2 1.526 0.150905 0.171257 431.041 
0.6 0.6 0.0667 -0.0667 0.7933 0.2267 0.2 0.8 2 1.496 0 0.169199 431.593 
0.6 0.6 0.0667 -0.0667 0.7933 0.2067 0.2 0.8 2 1.436 0.0947865 0.172045 440.89 
0.6 0.6 0.0667 -0.0667 0.7933 0.1867 0.2 0.8 2 1.348 0.00929019 0.169967 453.324 
0.6 0.6 0.0667 -0.0667 0.7933 0.1667 0.2 0.8 2 1.922 0 0.170559 455.777 
0.6 0.6 0.0667 -0.0667 0.7733 0.5467 0.2 0.8 2 1.514 0 0.166946 429.957 
0.6 0.6 0.0667 -0.0667 0.7733 0.5267 0.2 0.8 2 1.556 0.0265534 0.167809 433.028 
0.6 0.6 0.0667 -0.0667 0.7733 0.5067 0.2 0.8 2 1.364 0.040896 0.173307 453.344 
0.6 0.6 0.0667 -0.0667 0.7733 0.4867 0.2 0.8 2 1.284 0.154588 0.166949 440.294 
0.6 0.6 0.0667 -0.0667 0.7733 0.4667 0.2 0.8 2 1.282 0 0.166145 432.283 
0.6 0.6 0.0667 -0.0667 0.7733 0.4467 0.2 0.8 2 1.238 0.0192273 0.167578 429.879 
