d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.5 0.5 0.0667 -0.0667 0.8133 0.5467 0.2 0.8 2 9.464 0.059503 0.168274 480.614 
0.5 0.5 0.0667 -0.0667 0.8133 0.5267 0.2 0.8 2 9.794 0 0.17225 326.651 
0.5 0.5 0.0667 -0.0667 0.8133 0.5067 0.2 0.8 2 1.824 0.142128 0.171515 412.174 
0.5 0.5 0.0667 -0.0667 0.8133 0.4867 0.2 0.8 2 7.578 0 0.170836 467.886 
0.5 0.5 0.0667 -0.0667 0.8133 0.4667 0.2 0.8 2 3.682 0 0.173287 457.313 
0.5 0.5 0.0667 -0.0667 0.8133 0.4467 0.2 0.8 2 8.876 0.0416869 0.170571 476.571 
0.5 0.5 0.0667 -0.0667 0.8133 0.4267 0.2 0.8 2 7.448 0.0990153 0.171598 468.898 
0.5 0.5 0.0667 -0.0667 0.8133 0.4067 0.2 0.8 2 15 2.65499 0.890715 498.156 
0.5 0.5 0.0667 -0.0667 0.8133 0.3867 0.2 0.8 2 2.478 0.0691477 0.168765 456.305 
0.5 0.5 0.0667 -0.0667 0.8133 0.3667 0.2 0.8 2 4.972 0.132565 0.170359 463.581 
0.5 0.5 0.0667 -0.0667 0.8133 0.3467 0.2 0.8 2 2.13 0 0.17265 442.012 
0.5 0.5 0.0667 -0.0667 0.8133 0.3267 0.2 0.8 2 1.496 0.0603174 0.173561 445.567 
0.5 0.5 0.0667 -0.0667 0.8133 0.3067 0.2 0.8 2 15 2.135 0.890227 497.48 
0.5 0.5 0.0667 -0.0667 0.8133 0.2867 0.2 0.8 2 2.132 0.188198 0.173558 440.817 
0.5 0.5 0.0667 -0.0667 0.8133 0.2667 0.2 0.8 2 1.52 0.0251502 0.170592 441.863 
0.5 0.5 0.0667 -0.0667 0.8133 0.2467 0.2 0.8 2 2.462 0.169121 0.172376 453.013 
0.5 0.5 0.0667 -0.0667 0.8133 0.2267 0.2 0.8 2 1.19 0.0541265 0.17144 430.707 
0.5 0.5 0.0667 -0.0667 0.8133 0.2067 0.2 0.8 2 3.07 0 0.168864 439.553 
0.5 0.5 0.0667 -0.0667 0.8133 0.1867 0.2 0.8 2 1.564 0.0989848 0.172498 445.473 
0.5 0.5 0.0667 -0.0667 0.8133 0.1667 0.2 0.8 2 9.048 0 0.1726 327.392 
0.5 0.5 0.0667 -0.0667 0.7933 0.5467 0.2 0.8 2 13.824 0 0.168884 483.61 
0.5 0.5 0.0667 -0.0667 0.7933 0.5267 0.2 0.8 2 1.526 0.111033 0.166739 434.27 
0.5 0.5 0.0667 -0.0667 0.7933 0.5067 0.2 0.8 2 7.596 0 0.170557 473.675 
0.5 0.5 0.0667 -0.0667 0.7933 0.4867 0.2 0.8 2 11.366 0.166291 0.173137 473.077 
0.5 0.5 0.0667 -0.0667 0.7933 0.4667 0.2 0.8 2 6.698 0 0.173074 471.984 
0.5 0.5 0.0667 -0.0667 0.7933 0.4467 0.2 0.8 2 8.95 0.570328 0.170158 484.081 
0.5 0.5 0.0667 -0.0667 0.7933 0.4267 0.2 0.8 2 15 2.77333 0.898975 497.149 
0.5 0.5 0.0667 -0.0667 0.7933 0.4067 0.2 0.8 2 9.772 0 0.172309 478.46 
0.5 0.5 0.0667 -0.0667 0.7933 0.3867 0.2 0.8 2 15 2.50668 0.892844 497.626 
0.5 0.5 0.0667 -0.0667 0.7933 0.3667 0.2 0.8 2 15 2.31315 0.826091 495.605 
0.5 0.5 0.0667 -0.0667 0.7933 0.3467 0.2 0.8 2 2.524 0.104263 0.167468 461.232 
0.5 0.5 0.0667 -0.0667 0.7933 0.3267 0.2 0.8 2 15 2.17608 0.890284 497.547 
0.5 0.5 0.0667 -0.0667 0.7933 0.3067 0.2 0.8 2 5.61 0.340845 0.170594 467.649 
0.5 0.5 0.0667 -0.0667 0.7933 0.2867 0.2 0.8 2 15 1.91507 0.890818 495.887 
0.5 0.5 0.0667 -0.0667 0.7933 0.2667 0.2 0.8 2 15 1.82877 0.889042 497.034 
0.5 0.5 0.0667 -0.0667 0.7933 0.2467 0.2 0.8 2 5.002 0.169245 0.171526 463.553 
0.5 0.5 0.0667 -0.0667 0.7933 0.2267 0.2 0.8 2 2.986 0 0.169341 464.92 
0.5 0.5 0.0667 -0.0667 0.7933 0.2067 0.2 0.8 2 4.502 0.736867 0.170558 458.31 
0.5 0.5 0.0667 -0.0667 0.7933 0.1867 0.2 0.8 2 2.232 0.184227 0.172674 440.443 
0.5 0.5 0.0667 -0.0667 0.7933 0.1667 0.2 0.8 2 1.97 0.124845 0.17265 444.27 
0.5 0.5 0.0667 -0.0667 0.7733 0.5467 0.2 0.8 2 1.948 0.188216 0.166588 427.964 
0.5 0.5 0.0667 -0.0667 0.7733 0.5267 0.2 0.8 2 1.526 0.145414 0.170146 441.322 
0.5 0.5 0.0667 -0.0667 0.7733 0.5067 0.2 0.8 2 1.478 0.161717 0.16763 445.189 
0.5 0.5 0.0667 -0.0667 0.7733 0.4867 0.2 0.8 2 11.824 0.857498 0.169066 470.812 
0.5 0.5 0.0667 -0.0667 0.7733 0.4667 0.2 0.8 2 3.034 0.22021 0.173322 461.443 
0.5 0.5 0.0667 -0.0667 0.7733 0.4467 0.2 0.8 2 1.588 0.141336 0.172807 436.79 
0.5 0.5 0.0667 -0.0667 0.7733 0.4267 0.2 0.8 2 2.796 0 0.16638 450.978 
0.5 0.5 0.0667 -0.0667 0.7733 0.4067 0.2 0.8 2 1.462 0.120794 0.170814 443.227 
0.5 0.5 0.0667 -0.0667 0.7733 0.3867 0.2 0.8 2 2 0.0436945 0.172441 389.902 
0.5 0.5 0.0667 -0.0667 0.7733 0.3667 0.2 0.8 2 3.442 0.0324902 0.168444 470.307 
0.5 0.5 0.0667 -0.0667 0.7733 0.3467 0.2 0.8 2 2.58 0.217407 0.173265 423.25 
0.5 0.5 0.0667 -0.0667 0.7733 0.3267 0.2 0.8 2 1.952 0.137986 0.170828 447.901 
0.5 0.5 0.0667 -0.0667 0.7733 0.3067 0.2 0.8 2 4.622 0 0.173291 453.551 
0.5 0.5 0.0667 -0.0667 0.7733 0.2867 0.2 0.8 2 2.512 0.120291 0.171755 456.624 
0.5 0.5 0.0667 -0.0667 0.7733 0.2667 0.2 0.8 2 1.3 0 0.170267 424.249 
0.5 0.5 0.0667 -0.0667 0.7733 0.2467 0.2 0.8 2 1.784 0 0.168857 427.714 
0.5 0.5 0.0667 -0.0667 0.7733 0.2267 0.2 0.8 2 2.268 0.0431461 0.1706 446.759 
0.5 0.5 0.0667 -0.0667 0.7733 0.2067 0.2 0.8 2 3.696 0.14534 0.171288 449.795 
0.5 0.5 0.0667 -0.0667 0.7733 0.1867 0.2 0.8 2 2.036 0.0355556 0.167449 421.199 
0.5 0.5 0.0667 -0.0667 0.7733 0.1667 0.2 0.8 2 6.876 0 0.172865 478.975 
0.5 0.5 0.0667 -0.0667 0.7533 0.5467 0.2 0.8 2 2.076 0.193688 0.165377 428.96 
0.5 0.5 0.0667 -0.0667 0.7533 0.5267 0.2 0.8 2 3.46 0.0976643 0.168828 464.516 
0.5 0.5 0.0667 -0.0667 0.7533 0.5067 0.2 0.8 2 1.462 0.16491 0.170062 440.341 
0.5 0.5 0.0667 -0.0667 0.7533 0.4867 0.2 0.8 2 9.6 0 0.173074 471.328 
0.5 0.5 0.0667 -0.0667 0.7533 0.4667 0.2 0.8 2 8.318 0 0.172934 278.476 
0.5 0.5 0.0667 -0.0667 0.7533 0.4467 0.2 0.8 2 5.954 0 0.173048 470.301 
0.5 0.5 0.0667 -0.0667 0.7533 0.4267 0.2 0.8 2 1.996 0.00645834 0.173137 409.9 
0.5 0.5 0.0667 -0.0667 0.7533 0.4067 0.2 0.8 2 2.46 0.115361 0.171119 461.796 
0.5 0.5 0.0667 -0.0667 0.7533 0.3867 0.2 0.8 2 4.55 0.374153 0.171258 453.858 
0.5 0.5 0.0667 -0.0667 0.7533 0.3667 0.2 0.8 2 3.626 0 0.172538 458.12 
0.5 0.5 0.0667 -0.0667 0.7533 0.3467 0.2 0.8 2 4.1 0 0.173422 461.77 
0.5 0.5 0.0667 -0.0667 0.7533 0.3267 0.2 0.8 2 1.516 0.134773 0.17228 442.954 
0.5 0.5 0.0667 -0.0667 0.7533 0.3067 0.2 0.8 2 2.4 0.0216273 0.172439 467.392 
0.5 0.5 0.0667 -0.0667 0.7533 0.2867 0.2 0.8 2 1.888 0.27002 0.171121 447.533 
0.5 0.5 0.0667 -0.0667 0.7533 0.2667 0.2 0.8 2 2.954 0.20146 0.171039 463.314 
0.5 0.5 0.0667 -0.0667 0.7533 0.2467 0.2 0.8 2 3.258 0.0230177 0.167708 451.573 
0.5 0.5 0.0667 -0.0667 0.7533 0.2267 0.2 0.8 2 3.564 0.18632 0.165459 467.716 
0.5 0.5 0.0667 -0.0667 0.7533 0.2067 0.2 0.8 2 10.142 0.0193544 0.172728 479.958 
0.5 0.5 0.0667 -0.0667 0.7533 0.1867 0.2 0.8 2 4.446 0 0.170826 454.354 
0.5 0.5 0.0667 -0.0667 0.7533 0.1667 0.2 0.8 2 10.538 0.525595 0.168183 488.507 
0.5 0.5 0.0667 -0.0667 0.7333 0.5467 0.2 0.8 2 15 0.306618 0.699519 480.178 
0.5 0.5 0.0667 -0.0667 0.7333 0.5267 0.2 0.8 2 1.22 0.0656729 0.1687 420.017 
0.5 0.5 0.0667 -0.0667 0.7333 0.5067 0.2 0.8 2 1.324 0.0276852 0.173479 430.112 
0.5 0.5 0.0667 -0.0667 0.7333 0.4867 0.2 0.8 2 1.582 0.00304952 0.170253 427.408 
0.5 0.5 0.0667 -0.0667 0.7333 0.4667 0.2 0.8 2 2.818 0 0.161217 449.177 
0.5 0.5 0.0667 -0.0667 0.7333 0.4467 0.2 0.8 2 1.906 0.127692 0.173372 407.103 
0.5 0.5 0.0667 -0.0667 0.7333 0.4267 0.2 0.8 2 1.546 0.109567 0.170333 438.49 
0.5 0.5 0.0667 -0.0667 0.7333 0.4067 0.2 0.8 2 12.056 0 0.171082 242.305 
0.5 0.5 0.0667 -0.0667 0.7333 0.3867 0.2 0.8 2 2.31 0 0.163409 464.326 
0.5 0.5 0.0667 -0.0667 0.7333 0.3667 0.2 0.8 2 2.46 0.224617 0.172714 458.235 
0.5 0.5 0.0667 -0.0667 0.7333 0.3467 0.2 0.8 2 1.522 0 0.161369 425.665 
0.5 0.5 0.0667 -0.0667 0.7333 0.3267 0.2 0.8 2 1.978 0 0.172228 436.359 
0.5 0.5 0.0667 -0.0667 0.7333 0.3067 0.2 0.8 2 15 1.92174 0.909943 497.037 
0.5 0.5 0.0667 -0.0667 0.7333 0.2867 0.2 0.8 2 15 1.51902 0.708128 490.648 
0.5 0.5 0.0667 -0.0667 0.7333 0.2667 0.2 0.8 2 15 1.31083 0.900485 496.123 
0.5 0.5 0.0667 -0.0667 0.7333 0.2467 0.2 0.8 2 2.302 0.121281 0.167546 434.724 
0.5 0.5 0.0667 -0.0667 0.7333 0.2267 0.2 0.8 2 2.344 0.340139 0.172253 435.261 
0.5 0.5 0.0667 -0.0667 0.7333 0.2067 0.2 0.8 2 1.96 0.340802 0.171358 445.44 
0.5 0.5 0.0667 -0.0667 0.7333 0.1867 0.2 0.8 2 2.094 0.305613 0.169872 446.742 
0.5 0.5 0.0667 -0.0667 0.7333 0.1667 0.2 0.8 2 4.018 0.201131 0.171226 478.424 
0.5 0.5 0.0667 -0.0667 0.7133 0.5467 0.2 0.8 2 3.136 0.194824 0.170998 442.495 
0.5 0.5 0.0667 -0.0667 0.7133 0.5267 0.2 0.8 2 1.874 0.0130025 0.165855 440.98 
0.5 0.5 0.0667 -0.0667 0.7133 0.5067 0.2 0.8 2 1.234 0.082987 0.172253 431.199 
0.5 0.5 0.0667 -0.0667 0.7133 0.4867 0.2 0.8 2 1.252 0.0771073 0.16801 427.838 
0.5 0.5 0.0667 -0.0667 0.7133 0.4667 0.2 0.8 2 3.984 0 0.168717 451.969 
