distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
0.0454967 7.45243 19.6462 0 0 0 0 0 0
0.0460351 7.9957 20.9416 0 0 0 0 10.051 20.7816
0.0465901 8.47297 22.6072 0 0 0 0 8.99668 18.8458
0.0471564 8.76483 22.1264 0 0 0 0 6.34502 13.6279
0.0477433 6.67203 17.8173 0 0 0 0 6.2177 13.155
0.0483508 6.32922 17.243 0 0 0 0 5.81114 12.6715
0.0489628 5.07996 14.4635 0 0 0 0 4.41673 10.428
0.0495789 5.16296 15.0473 0 0 0 0 2.91169 7.95829
0.0501918 4.37205 13.3623 0 0 0 0 1.30154 5.26508
0.0508084 4.287 13.4726 0 0 0 0 1.51655 5.73916
0.0514215 3.6103 12.1392 0 0 0 0 0.576327 4.37379
0.0520386 2.78773 10.6645 0 0 0 0 1.20852 5.59031
0.0526591 3.33065 12.1615 0 0 0 0 1.01146 5.58544
0.0532741 3.08534 11.801 0 0 0 0 0.162892 4.1239
0.0538919 3.21414 12.3286 0 0 0 0 0.7376 4.85833
0.0545061 2.86856 11.8 0 0 0 0 0.259441 3.99954
0.0551243 2.23441 10.7896 0 0 0 0 0.588361 4.36631
0.0557501 2.43516 11.4049 0 0 0 0 1.17709 5.22764
0.0563746 2.71081 12.155 0 0 0 0 0.829858 4.60781
0.0569978 2.20891 11.4556 0 0 0 0 0.701006 4.228
0.0576259 1.66614 10.6348 0 0 0 0 0.938013 4.47287
0.0582613 1.90054 11.1997 0 0 0 0 1.3382 5.01373
0.0588963 1.78696 10.9609 0 0 0 0 0.925267 4.29265
0.0595365 2.13188 11.3264 0 0 0 0 1.26637 4.65265
0.0601763 1.93019 10.8989 0 0 0 0 0.942009 4.06499
0.0608211 1.60425 10.1358 0 0 0 0 1.11286 4.18781
0.0614731 1.95984 10.3979 0 0 0 0 1.56058 4.76303
0.0621259 2.50615 11.2492 0 0 0 0 1.16162 4.13133
0.062779 2.1295 10.6149 0 0 0 0 1.09542 3.85511
0.0634376 1.73068 9.73784 0 0 0 0 1.24191 3.94787
0.0641035 2.02509 9.79321 0 0 0 0 1.65415 4.44246
0.0647707 2.6754 10.7298 0 0 0 0 1.24326 3.86846
0.0654384 2.20221 10.1059 0 0 0 0 1.14067 3.52446
0.0661109 2.30995 9.77517 0 0 0 0 1.63575 4.04694
0.0667846 2.33955 9.88339 0 0 0 0 1.04109 3.2836
0.0674627 2.28946 9.39751 0 0 0 0 1.66071 3.87374
0.0681407 2.78322 9.99931 0 0 0 0 1.34453 3.47217
0.0688202 2.63737 9.88688 0 0 0 0 0.881819 2.77566
0.0695032 2.34527 8.99408 0 0 0 0 1.70389 3.61102
0.0701845 2.818 9.53962 0 0 0 0 1.3995 3.21462
0.070868 2.95082 9.77776 0 0 0 0 0.661734 2.30169
