setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.081789 -0.0818154 0.0515846 -0.051611 0.202702 -0.202714 -0.107437 0.107424 0.0283614
0.0717395 -0.071766 0.061634 -0.0616605 0.200082 -0.200096 -0.104055 0.104043 0.0289432
0.0616869 -0.0617134 0.0716866 -0.0717131 0.197315 -0.197328 -0.10054 0.100527 0.0295229
0.0516375 -0.0516639 0.0817361 -0.0817625 0.194401 -0.194415 -0.0968949 0.0968818 0.0301023
0.0415975 -0.0416239 0.0917761 -0.0918025 0.191345 -0.191359 -0.0931215 0.0931081 0.0306823
0.0315734 -0.0315998 0.1018 -0.101827 0.18815 -0.188164 -0.0892231 0.0892095 0.0312646
0.0215715 -0.0215978 0.111802 -0.111828 0.184818 -0.184832 -0.0852027 0.0851888 0.0318455
0.0115981 -0.0116244 0.121776 -0.121802 0.181354 -0.181368 -0.0810632 0.0810491 0.0324272
0.00165955 -0.00168566 0.131714 -0.13174 0.17776 -0.177775 -0.0768077 0.0767934 0.0330107
-0.00823797 0.00821198 0.141612 -0.141638 0.17404 -0.174055 -0.0724394 0.0724249 0.0335914
-0.0180882 0.0180623 0.151462 -0.151488 0.170197 -0.170213 -0.0679614 0.0679467 0.0341686
-0.0278848 0.0278591 0.161259 -0.161285 0.166236 -0.166251 -0.0633771 0.0633621 0.0347419
-0.0376217 0.0375961 0.170996 -0.171022 0.162159 -0.162174 -0.0586897 0.0586745 0.035312
-0.0472927 0.0472673 0.180667 -0.180693 0.15797 -0.157986 -0.0539026 0.0538872 0.0358755
-0.0568917 0.0568665 0.190267 -0.190292 0.153673 -0.153689 -0.0490193 0.0490037 0.036432
-0.0664126 0.0663877 0.199788 -0.199813 0.149271 -0.149287 -0.0440432 0.0440275 0.0369814
-0.0758495 0.0758248 0.209225 -0.20925 0.144769 -0.144785 -0.038978 0.038962 0.0375243
-0.0851964 0.0851719 0.218572 -0.218596 0.140169 -0.140186 -0.0338271 0.0338109 0.0380592
-0.0944473 0.094423 0.227823 -0.227847 0.135477 -0.135494 -0.0285942 0.0285778 0.0385857
-0.103596 0.103572 0.236972 -0.236996 0.130696 -0.130712 -0.0232829 0.0232664 0.0391034
-0.112638 0.112614 0.246014 -0.246038 0.125829 -0.125846 -0.0178971 0.0178804 0.0396124
-0.121566 0.121543 0.254943 -0.254966 0.120881 -0.120898 -0.0124404 0.0124236 0.0401146
-0.130376 0.130353 0.263753 -0.263776 0.115856 -0.115873 -0.00691662 0.00689972 0.0406083
-0.139061 0.139038 0.272438 -0.272461 0.110758 -0.110775 -0.00132964 0.00131262 0.0410928
-0.147616 0.147593 0.280993 -0.281016 0.105591 -0.105608 0.0043167 -0.00433383 0.0415679
-0.156035 0.156013 0.289413 -0.289435 0.100358 -0.100375 0.0100185 -0.0100357 0.0420331
-0.164314 0.164292 0.297692 -0.297714 0.0950649 -0.0950821 0.0157719 -0.0157892 0.0424881
-0.172447 0.172426 0.305826 -0.305847 0.0897147 -0.089732 0.0215728 -0.0215902 0.0429324
-0.180429 0.180408 0.313808 -0.313829 0.0843127 -0.0843293 0.0274173 -0.0274349 0.0434287
-0.188255 0.188235 0.321635 -0.321655 0.0788619 -0.0788781 0.0333014 -0.0333193 0.0439452
-0.19592 0.1959 0.3293 -0.32932 0.0733666 -0.0733827 0.0392212 -0.0392393 0.0444682
-0.203419 0.203399 0.336799 -0.336819 0.0678311 -0.0678472 0.0451726 -0.0451909 0.0449879
-0.210747 0.210728 0.344128 -0.344147 0.0622597 -0.0622758 0.0511514 -0.05117 0.0454967
-0.2179 0.217882 0.351282 -0.3513 0.0566567 -0.0566728 0.0571539 -0.0571725 0.0460351
-0.224874 0.224856 0.358256 -0.358274 0.0510262 -0.0510423 0.0631756 -0.0631944 0.0465901
-0.231663 0.231645 0.365045 -0.365063 0.0453726 -0.0453887 0.0692128 -0.0692317 0.0471564
-0.238264 0.238247 0.371647 -0.371664 0.0397 -0.0397161 0.0752614 -0.0752802 0.0477433
-0.244672 0.244655 0.378055 -0.378072 0.0340127 -0.0340287 0.0813172 -0.081336 0.0483508
-0.250883 0.250867 0.384267 -0.384283 0.0283149 -0.0283308 0.087376 -0.0873949 0.0489628
-0.256894 0.256879 0.390279 -0.390294 0.0226108 -0.0226267 0.0934339 -0.0934528 0.0495789
-0.262701 0.262686 0.396086 -0.396101 0.0169047 -0.0169206 0.0994868 -0.0995058 0.0501918
-0.268299 0.268285 0.401685 -0.401699 0.0112007 -0.0112165 0.105531 -0.10555 0.0508084
-0.273686 0.273672 0.407072 -0.407086 0.00550301 -0.00551871 0.111561 -0.11158 0.0514215
-0.278858 0.278845 0.412245 -0.412258 -0.000184166 0.00016854 0.117575 -0.117594 0.0520386
-0.283812 0.283799 0.417199 -0.417212 -0.00585666 0.0058411 0.123567 -0.123586 0.0526591
-0.288544 0.288532 0.421932 -0.421944 -0.0115104 0.0114949 0.129535 -0.129553 0.0532741
-0.293052 0.293041 0.426441 -0.426452 -0.0171411 0.0171258 0.135473 -0.135491 0.0538919
-0.297333 0.297322 0.430722 -0.430733 -0.0227449 0.0227297 0.141377 -0.141396 0.0545061
-0.301384 0.301373 0.434773 -0.434784 -0.0283177 0.0283025 0.147245 -0.147264 0.0551243
-0.305202 0.305192 0.438592 -0.438602 -0.0338553 0.0338403 0.153072 -0.153091 0.0557501
-0.308785 0.308776 0.442176 -0.442185 -0.0393539 0.039339 0.158854 -0.158873 0.0563746
-0.312132 0.312123 0.445523 -0.445532 -0.0448094 0.0447947 0.164587 -0.164606 0.0569978
-0.315239 0.315231 0.448631 -0.448639 -0.050218 0.0502034 0.170268 -0.170286 0.0576259
-0.318104 0.318097 0.451497 -0.451504 -0.0555757 0.0555613 0.175893 -0.175911 0.0582613
-0.320727 0.320721 0.454121 -0.454127 -0.0608787 0.0608645 0.181457 -0.181475 0.0588963
-0.323105 0.323099 0.456499 -0.456505 -0.0661232 0.0661092 0.186958 -0.186976 0.0595365
-0.325237 0.325232 0.458632 -0.458637 -0.0713054 0.0712916 0.192391 -0.192409 0.0601763
-0.327121 0.327117 0.460517 -0.460521 -0.0764217 0.0764081 0.197754 -0.197771 0.0608211
-0.328757 0.328753 0.462153 -0.462157 -0.0814684 0.081455 0.203042 -0.203059 0.0614731
-0.330143 0.330139 0.463539 -0.463543 -0.0864419 0.0864287 0.208252 -0.208268 0.0621259
-0.331278 0.331275 0.464675 -0.464678 -0.0913386 0.0913257 0.21338 -0.213397 0.062779
-0.332162 0.33216 0.46556 -0.465562 -0.096155 0.0961423 0.218424 -0.21844 0.0634376
-0.332793 0.332792 0.466192 -0.466193 -0.100888 0.100875 0.223379 -0.223395 0.0641035
-0.333173 0.333172 0.466572 -0.466573 -0.105533 0.105521 0.228243 -0.228258 0.0647707
-0.3333 0.3333 0.4667 -0.4667 -0.110089 0.110077 0.233012 -0.233027 0.0654384
-0.333174 0.333175 0.466575 -0.466574 -0.11455 0.114539 0.237683 -0.237698 0.0661109
-0.332796 0.332797 0.466197 -0.466196 -0.118915 0.118904 0.242253 -0.242268 0.0667846
-0.332166 0.332168 0.465568 -0.465566 -0.12318 0.123169 0.246719 -0.246734 0.0674627
-0.331283 0.331286 0.464686 -0.464683 -0.127342 0.127332 0.251079 -0.251093 0.0681407
-0.330149 0.330153 0.463553 -0.463549 -0.131398 0.131388 0.255328 -0.255342 0.0688202
-0.328765 0.328769 0.462169 -0.462165 -0.135346 0.135336 0.259465 -0.259479 0.0695032
-0.327131 0.327135 0.460535 -0.460531 -0.139181 0.139172 0.263486 -0.2635 0.0701845
-0.325248 0.325253 0.458653 -0.458648 -0.142903 0.142893 0.267389 -0.267403 0.070868
-0.323117 0.323123 0.456523 -0.456517 -0.146507 0.146498 0.271172 -0.271185 0.0715546
-0.32074 0.320747 0.454147 -0.45414 -0.149992 0.149983 0.274831 -0.274844 0.0722385
-0.318119 0.318126 0.451526 -0.451519 -0.153354 0.153346 0.278365 -0.278377 0.0729249
-0.315254 0.315262 0.448662 -0.448654 -0.156592 0.156584 0.281771 -0.281783 0.0736139
-0.312149 0.312157 0.445557 -0.445549 -0.159703 0.159695 0.285047 -0.285058 0.0742999
-0.308804 0.308813 0.442213 -0.442204 -0.162685 0.162678 0.28819 -0.288201 0.074983
-0.305222 0.305231 0.438631 -0.438622 -0.165536 0.165529 0.291199 -0.291209 0.0756633
-0.301404 0.301415 0.434815 -0.434804 -0.168253 0.168247 0.294071 -0.294081 0.0763409
-0.297355 0.297366 0.430766 -0.430755 -0.170835 0.170829 0.296805 -0.296815 0.0770215
-0.293075 0.293087 0.426487 -0.426475 -0.17328 0.173274 0.299398 -0.299408 0.0777023
-0.288569 0.288581 0.421981 -0.421969 -0.175586 0.17558 0.30185 -0.301859 0.0783784
-0.283837 0.28385 0.41725 -0.417237 -0.177751 0.177746 0.304158 -0.304167 0.0790497
-0.278885 0.278898 0.412298 -0.412285 -0.179774 0.179769 0.30632 -0.306329 0.0797158
-0.273714 0.273728 0.407128 -0.407114 -0.181652 0.181648 0.308336 -0.308345 0.080376
-0.268328 0.268343 0.401743 -0.401728 -0.183386 0.183382 0.310204 -0.310212 0.0810299
-0.262731 0.262746 0.396146 -0.396131 -0.184973 0.184969 0.311923 -0.311931 0.0816767
-0.256925 0.256941 0.390341 -0.390325 -0.186412 0.186409 0.313491 -0.313499 0.0823159
-0.250916 0.250932 0.384332 -0.384316 -0.187702 0.187699 0.314908 -0.314915 0.0829467
-0.244705 0.244722 0.378122 -0.378105 -0.188842 0.188839 0.316172 -0.316179 0.0835685
-0.238298 0.238315 0.371715 -0.371698 -0.189831 0.189829 0.317283 -0.317289 0.0841804
-0.231698 0.231716 0.365116 -0.365098 -0.190668 0.190667 0.318239 -0.318245 0.0847817
