setKForeLeft setKHindLeft setKForeRight setKHindRight realKForeLeft realKHindLeft realKForeRight realKHindRight distance
0.8333 0.2 0.2 0.5667 0.801505 0.280718 0.519252 0.59135 0.0324272
0.8333 0.2 0.2 0.5667 0.802272 0.288388 0.536126 0.585981 0.0330107
0.8333 0.2 0.2 0.5667 0.803806 0.290689 0.552233 0.580612 0.0335914
0.8333 0.2 0.2 0.5667 0.804573 0.289922 0.569107 0.577544 0.0341686
0.8333 0.2 0.2 0.5667 0.806107 0.286854 0.586748 0.575243 0.0347419
0.8333 0.2 0.2 0.5667 0.806874 0.293757 0.603621 0.574476 0.035312
0.8333 0.2 0.2 0.5667 0.808408 0.302194 0.622029 0.572942 0.0358755
0.8333 0.2 0.2 0.5667 0.809175 0.309864 0.63967 0.571408 0.036432
0.8333 0.2 0.2 0.5667 0.809942 0.312165 0.658078 0.569107 0.0369814
0.8333 0.2 0.2 0.5667 0.810709 0.320602 0.677253 0.56834 0.0375243
0.8333 0.2 0.2 0.5667 0.811476 0.329806 0.696427 0.566806 0.0380592
0.8333 0.2 0.2 0.5667 0.812243 0.33901 0.715602 0.565272 0.0385857
0.8333 0.2 0.2 0.5667 0.81301 0.348214 0.734777 0.563738 0.0391034
0.8333 0.2 0.2 0.5667 0.81301 0.350515 0.754719 0.562971 0.0396124
0.8333 0.2 0.2 0.5667 0.813777 0.359718 0.77466 0.561437 0.0401146
0.8333 0.2 0.2 0.5667 0.813777 0.368922 0.795369 0.559903 0.0406083
0.8333 0.2 0.2 0.5667 0.814544 0.378893 0.816078 0.559136 0.0410928
0.8333 0.2 0.2 0.5667 0.814544 0.388864 0.836787 0.557602 0.0415679
0.8333 0.2 0.2 0.5667 0.814544 0.398835 0.857495 0.556835 0.0420331
0.8333 0.2 0.2 0.5667 0.815311 0.408806 0.878971 0.555301 0.0424881
0.8333 0.2 0.2 0.5667 0.815311 0.418777 0.900447 0.554534 0.0429324
0.8333 0.2 0.2 0.5667 0.811476 0.436418 0.927291 0.56067 0.0434287
0.8333 0.2 0.2 0.5667 0.811476 0.459427 0.957971 0.56834 0.0439452
0.8333 0.2 0.2 0.5667 0.813777 0.468631 0.947233 0.574476 0.0444682
0.8333 0.2 0.2 0.5667 0.818379 0.496243 0.97868 0.579078 0.0449879
0.8333 0.2 0.2 0.5667 0.822981 0.505447 0.965641 0.581379 0.0454967
0.2 0.5667 0.8333 0.2 0.826049 0.500845 0.996321 0.582913 0.0460351
0.2 0.5667 0.8333 0.2 0.829884 0.526155 1.03084 0.585214 0.0465901
0.2 0.5667 0.8333 0.2 0.831418 0.548398 1.0178 0.587515 0.0471564
0.2 0.5667 0.8333 0.2 0.832185 0.553767 0.983282 0.588282 0.0477433
0.2 0.5667 0.8333 0.2 0.832185 0.549932 1.01166 0.587515 0.0483508
0.2 0.5667 0.8333 0.2 0.832952 0.574476 0.999388 0.586748 0.0489628
0.2 0.5667 0.8333 0.2 0.832185 0.582913 1.027 0.585214 0.0495789
0.2 0.5667 0.8333 0.2 0.831418 0.582913 1.01473 0.582913 0.0501918
0.2 0.5667 0.8333 0.2 0.830651 0.577544 1.04157 0.580612 0.0508084
0.2 0.5667 0.8333 0.2 0.829117 0.571408 1.03007 0.577544 0.0514215
0.2 0.5667 0.8333 0.2 0.82835 0.589816 1.00246 0.575243 0.0520386
0.2 0.5667 0.8333 0.2 0.826049 0.597486 1.02547 0.572175 0.0526591
0.2 0.5667 0.8333 0.2 0.823748 0.600553 1.0155 0.56834 0.0532741
0.2 0.5667 0.8333 0.2 0.821447 0.600553 1.03774 0.564505 0.0538919
