amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.7733 0.2267 0.2 0.4 2 3.264 0 0.172072 431.259 
0.4 0.4 0.0667 -0.0667 0.7733 0.2067 0.2 0.4 2 4.762 0 0.172136 456.3 
0.4 0.4 0.0667 -0.0667 0.7733 0.1867 0.2 0.4 2 5.486 0.0375042 0.17185 478.105 
0.4 0.4 0.0667 -0.0667 0.7733 0.1667 0.2 0.4 2 15 0.174293 0.863372 490.294 
0.4 0.4 0.0667 -0.0667 0.7533 0.5467 0.2 0.4 2 15 0.980505 0.903404 498.001 
0.4 0.4 0.0667 -0.0667 0.7533 0.5267 0.2 0.4 2 15 0.562538 0.890905 496.327 
0.4 0.4 0.0667 -0.0667 0.7533 0.5067 0.2 0.4 2 15 0 0.845705 492.942 
0.4 0.4 0.0667 -0.0667 0.7533 0.4867 0.2 0.4 2 15 0.368857 0.900087 494.996 
0.4 0.4 0.0667 -0.0667 0.7533 0.4667 0.2 0.4 2 15 0.714914 0.904835 497.534 
0.4 0.4 0.0667 -0.0667 0.7533 0.4467 0.2 0.4 2 2.996 0.00288964 0.172268 441.751 
0.4 0.4 0.0667 -0.0667 0.7533 0.4267 0.2 0.4 2 14.886 0.050098 0.17138 485.726 
0.4 0.4 0.0667 -0.0667 0.7533 0.4067 0.2 0.4 2 12.02 0.0875137 0.168739 487.213 
0.4 0.4 0.0667 -0.0667 0.7533 0.3867 0.2 0.4 2 3.06 0.0486165 0.173282 429.884 
0.4 0.4 0.0667 -0.0667 0.7533 0.3667 0.2 0.4 2 11.676 0.308821 0.173024 486.023 
0.4 0.4 0.0667 -0.0667 0.7533 0.3467 0.2 0.4 2 15 0 0.751345 486.859 
0.4 0.4 0.0667 -0.0667 0.7533 0.3267 0.2 0.4 2 1.644 0 0.171326 447.345 
0.4 0.4 0.0667 -0.0667 0.7533 0.3067 0.2 0.4 2 1.48 0 0.16669 446.709 
0.4 0.4 0.0667 -0.0667 0.7533 0.2867 0.2 0.4 2 2.844 0.134414 0.173296 447.406 
0.4 0.4 0.0667 -0.0667 0.7533 0.2667 0.2 0.4 2 9.772 0 0.170632 479.553 
0.4 0.4 0.0667 -0.0667 0.7533 0.2467 0.2 0.4 2 2.032 0.0999088 0.171195 426.877 
0.4 0.4 0.0667 -0.0667 0.7533 0.2267 0.2 0.4 2 1.862 0.0455578 0.171645 444.787 
0.4 0.4 0.0667 -0.0667 0.7533 0.2067 0.2 0.4 2 15 0 0.723316 485.441 
0.4 0.4 0.0667 -0.0667 0.7533 0.1867 0.2 0.4 2 15 0 0.830511 486.567 
0.4 0.4 0.0667 -0.0667 0.7533 0.1667 0.2 0.4 2 6.76 0.198003 0.172854 467.492 
0.4 0.4 0.0667 -0.0667 0.7333 0.5467 0.2 0.4 2 15 0.743244 0.870444 496.777 
0.4 0.4 0.0667 -0.0667 0.7333 0.5267 0.2 0.4 2 15 0.837752 0.883719 497.029 
0.4 0.4 0.0667 -0.0667 0.7333 0.5067 0.2 0.4 2 15 0.969174 0.87362 496.385 
0.4 0.4 0.0667 -0.0667 0.7333 0.4867 0.2 0.4 2 11.698 0.140363 0.171799 483.039 
0.4 0.4 0.0667 -0.0667 0.7333 0.4667 0.2 0.4 2 15 0.443588 0.743259 488.122 
0.4 0.4 0.0667 -0.0667 0.7333 0.4467 0.2 0.4 2 1.482 0 0.169891 448.92 
0.4 0.4 0.0667 -0.0667 0.7333 0.4267 0.2 0.4 2 1.494 0 0.168574 446.107 
0.4 0.4 0.0667 -0.0667 0.7333 0.4067 0.2 0.4 2 1.58 0.0285312 0.171111 440.182 
0.4 0.4 0.0667 -0.0667 0.7333 0.3867 0.2 0.4 2 1.648 0 0.172624 444.904 
0.4 0.4 0.0667 -0.0667 0.7333 0.3667 0.2 0.4 2 15 0.176194 0.712568 486.011 
0.4 0.4 0.0667 -0.0667 0.7333 0.3467 0.2 0.4 2 2.24 0.205594 0.168821 415.983 
0.4 0.4 0.0667 -0.0667 0.7333 0.3267 0.2 0.4 2 11.384 0.037463 0.168209 480.857 
0.4 0.4 0.0667 -0.0667 0.7333 0.3067 0.2 0.4 2 2.984 0.340746 0.173429 449.148 
0.4 0.4 0.0667 -0.0667 0.7333 0.2867 0.2 0.4 2 1.618 0.19032 0.166458 447.194 
0.4 0.4 0.0667 -0.0667 0.7333 0.2667 0.2 0.4 2 1.77 0.29033 0.172376 436.231 
0.4 0.4 0.0667 -0.0667 0.7333 0.2467 0.2 0.4 2 1.666 0.110381 0.171058 449.216 
0.4 0.4 0.0667 -0.0667 0.7333 0.2267 0.2 0.4 2 15 0.122774 0.76065 486.899 
0.4 0.4 0.0667 -0.0667 0.7333 0.2067 0.2 0.4 2 1.706 0.278847 0.168253 439.237 
0.4 0.4 0.0667 -0.0667 0.7333 0.1867 0.2 0.4 2 2.524 0.177965 0.170199 448.472 
0.4 0.4 0.0667 -0.0667 0.7333 0.1667 0.2 0.4 2 8.502 0.181123 0.170672 476.41 
0.4 0.4 0.0667 -0.0667 0.7133 0.5467 0.2 0.4 2 15 1.03264 0.864542 498.516 
0.4 0.4 0.0667 -0.0667 0.7133 0.5267 0.2 0.4 2 15 0.891696 0.877856 496.568 
0.4 0.4 0.0667 -0.0667 0.7133 0.5067 0.2 0.4 2 15 0.654249 0.848557 492.362 
0.4 0.4 0.0667 -0.0667 0.7133 0.4867 0.2 0.4 2 15 0 0.192281 292.41 
0.4 0.4 0.0667 -0.0667 0.7133 0.4667 0.2 0.4 2 15 0.444439 0.776856 490.379 
0.4 0.4 0.0667 -0.0667 0.7133 0.4467 0.2 0.4 2 1.496 0 0.171441 451.446 
0.4 0.4 0.0667 -0.0667 0.7133 0.4267 0.2 0.4 2 1.718 0 0.164236 427.502 
0.4 0.4 0.0667 -0.0667 0.7133 0.4067 0.2 0.4 2 1.516 0 0.169457 438.544 
0.4 0.4 0.0667 -0.0667 0.7133 0.3867 0.2 0.4 2 2.94 0 0.171716 441.616 
0.4 0.4 0.0667 -0.0667 0.7133 0.3667 0.2 0.4 2 1.526 0 0.173399 442.902 
0.4 0.4 0.0667 -0.0667 0.7133 0.3467 0.2 0.4 2 15 0.133011 0.850714 488.917 
0.4 0.4 0.0667 -0.0667 0.7133 0.3267 0.2 0.4 2 15 0.115648 0.801385 487.591 
0.4 0.4 0.0667 -0.0667 0.7133 0.3067 0.2 0.4 2 1.538 0 0.173339 443.287 
0.4 0.4 0.0667 -0.0667 0.7133 0.2867 0.2 0.4 2 1.544 0 0.170493 440.179 
0.4 0.4 0.0667 -0.0667 0.7133 0.2667 0.2 0.4 2 1.81 0.264751 0.171896 437.263 
