distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
0.0384487 4.69817 15.5302 0 0 0 0 6.55122 13.7002
0.0388195 4.38701 15.0659 0 0 0 0 7.0352 14.4747
0.0392084 4.09133 14.3656 0 0 0 0 6.33234 13.2711
0.0396207 4.0515 14.4998 0 0 0 0 5.27679 11.6426
0.0400371 3.77261 13.7877 0 0 0 0 5.2478 11.7127
0.040458 3.49421 13.4297 0 0 0 0 3.43067 8.91278
0.0408902 3.1475 12.5095 0 0 0 0 2.93971 8.10776
0.0413344 2.85824 11.841 0 0 0 0 3.75224 9.61864
0.0417881 2.95013 12.675 0 0 0 0 2.57188 7.97872
0.0422432 2.83237 12.4836 0 0 0 0 1.94471 7.01071
0.0427064 2.51026 11.7293 0 0 0 0 1.92298 7.06986
0.0431808 2.17721 10.9872 0 0 0 0 1.95452 7.31017
0.0436674 1.88397 10.3973 0 0 0 0 1.92085 7.46653
0.0441662 1.64166 9.97992 0 0 0 0 1.80028 7.47941
0.0446765 1.44447 9.70871 0 0 0 0 1.69082 7.35019
0.0451975 1.27947 9.53676 0 0 0 0 1.6421 7.12058
0.0457282 1.13402 9.42091 0 0 0 0 1.57853 6.85933
0.046268 1.0979 9.32125 0 0 0 0 1.51499 6.59475
0.0468161 1.13917 9.20763 0 0 0 0 1.46127 6.34518
0.0473722 1.17147 9.06897 0 0 0 0 1.42078 6.11915
0.047936 1.19422 8.90492 0 0 0 0 1.39037 5.91356
0.0485076 1.20826 8.71952 0 0 0 0 1.36609 5.72257
0.0490866 1.21491 8.51781 0 0 0 0 1.34454 5.54086
0.0496732 1.21545 8.30457 0 0 0 0 1.3232 5.36445
0.0502671 1.21117 8.08437 0 0 0 0 1.29995 5.18991
0.0508683 1.20274 7.85981 0 0 0 0 1.27431 5.01678
0.0514766 1.19087 7.63348 0 0 0 0 1.24573 4.84436
0.0520919 1.17612 7.40762 0 0 0 0 1.21424 4.67279
0.0527142 1.15895 7.18401 0 0 0 0 1.17996 4.50235
0.0533432 1.13958 6.96365 0 0 0 0 1.14184 4.33192
0.0539787 1.11819 6.7472 0 0 0 0 1.09973 4.16171
0.0546206 1.09525 6.53637 0 0 0 0 1.05404 3.99237
0.0552687 1.07088 6.33183 0 0 0 0 1.00481 3.82424
0.0559228 1.04499 6.13363 0 0 0 0 0.952446 3.65808
0.0565825 1.018 5.94311 0 0 0 0 0.896962 3.49388
0.0572478 0.989517 5.7595 0 0 0 0 0.838019 3.3316
0.0579183 0.95994 5.58386 0 0 0 0 0.781982 3.18235
0.0585939 0.930691 5.4202 0 0 0 0 0.762071 3.10215
0.0592745 0.900417 5.26415 0 0 0 0 0.725698 3.00144
0.0599599 0.869088 5.11548 0 0 0 0 0.675562 2.8856
0.0606497 0.83654 4.97399 0 0 0 0 0.613943 2.75882
0.0613438 0.802631 4.83947 0 0 0 0 0.542562 2.62434
0.0620417 0.767333 4.71189 0 0 0 0 0.462684 2.48464
0.0627432 0.73067 4.59135 0 0 0 0 0.375223 2.34156
0.063448 0.692695 4.47798 0 0 0 0 0.280818 2.19647
0.0641555 0.653472 4.3719 0 0 0 0 0.179887 2.05035
0.0648654 0.613073 4.27324 0 0 0 0 0.0726698 1.90387
0.0655774 0.577512 4.19739 0 0 0 0 -0.0400362 1.75829
0.0662909 0.559713 4.17659 0 0 0 0 -0.15663 1.61594
0.0670057 0.53362 4.14386 0 0 0 0 -0.279997 1.47434
0.0677213 0.500415 4.10282 0 0 0 0 -0.410854 1.33244
0.0684371 0.461261 4.05657 0 0 0 0 -0.549664 1.18966
0.0691527 0.417202 4.0078 0 0 0 0 -0.696732 1.04577
0.0698674 0.369169 3.95882 0 0 0 0 -0.852262 0.900738
0.0705808 0.317985 3.91157 0 0 0 0 -1.01641 0.754633
0.0712922 0.264381 3.86768 0 0 0 0 -1.18931 0.607594
0.0720009 0.208998 3.82849 0 0 0 0 -1.3711 0.459783
0.0727064 0.152405 3.79509 0 0 0 0 -1.56192 0.31137
0.0734078 0.0951055 3.76838 0 0 0 0 -1.76194 0.16252
0.0741045 0.03755 3.74904 0 0 0 0 -1.97135 0.0133908
0.074796 -0.018253 3.74245 0 0 0 0 0 0
0.075482 -0.0715332 3.74782 0 0 0 0 0 0
0.0761619 -0.122136 3.76455 0 0 0 0 0 0
0.0768354 -0.169992 3.79221 0 0 0 0 0 0
0.0775021 -0.215031 3.83034 0 0 0 0 0 0
0.0781614 -0.25718 3.87854 0 0 0 0 0 0
0.0788018 0 0 0 0 0.287186 33.7946 0 0
0.0794201 0 0 0 0 0.573433 28.5534 0 0
0.0800176 0 0 0 0 0.427227 23.6647 0 0
0.0805923 0 0 0 0 0.668149 28.6429 0 0
0.0811442 0 0 0 0 0.28161 20.4756 0 0
0.0816719 0 0 0 0 0.0517804 16.5605 0 0
0.0821752 0 0 0 0 -0.152815 12.9431 0 0
0.0826636 0 0 0 0 -0.316568 10.269 0 0
0.0831275 0 0 0 0 -0.292853 10.7504 0 0
0.0835632 0 0 0 0 -0.277079 10.6469 0 0
0.0839714 0 0 0 0 -0.268811 10.2075 0 0
0.0843643 0 0 0 0 -0.29913 9.46032 0 0
0.0847289 0 0 0 0 -0.0947863 11.2419 0 0
0.0850617 0 0 0 0 0.00452594 11.9884 0 0
0.0853722 0 0 0 0 0.100046 12.2447 0 0
0.0856501 0 0 0 0 0.130899 11.9627 0 0
0.0858953 0 0 0 0 0.384429 13.8317 0 0
0.0861199 0 0 0 0 0.297309 12.5817 0 0
0.086309 0 0 0 0 0.60487 14.515 0 0
0.0864603 0 0 0 0 0.744734 15.3623 0 0
0.0865904 0 0 0 0 0.656542 13.9313 0 0
0.0867042 0 0 7.67229 34.9719 1.48436 19.8632 0 0
0.0867998 0 0 6.66779 29.8855 1.88739 21.8709 0 0
0.0869052 0 0 7.77982 35.2753 2.13565 22.4559 0 0
0.0869962 0 0 6.26677 26.1476 2.62129 25.1195 0 0
0.0870854 0 0 5.04802 20.3615 2.38736 22.0198 0 0
0.0871574 0 0 4.53498 16.5851 2.68681 23.5825 0 0
0.0872243 0 0 4.0371 14.2225 2.42446 20.2746 0 0
0.0872781 0 0 3.90896 12.3862 2.49295 19.976 0 0
0.0873306 0 0 3.65733 11.2993 2.55379 19.8877 0 0
0.0873838 0 0 3.83004 11.3206 2.44906 17.3735 0 0
0.0874294 0 0 4.08008 11.8229 2.41255 16.614 0 0
0.0874675 0 0 3.705 10.8011 2.5858 17.6139 0 0
0.0875029 0 0 3.86354 10.1596 2.45659 15.3027 0 0
0.0875318 0 0 3.51767 9.02891 2.50934 14.9855 0 0
0.08756 0 0 1.60097 3.7951 2.55123 14.6749 0 0
0.0875705 0 0 0 0 2.50551 13.0685 0 0
0.0875725 0 0 0 0 2.48453 11.6362 0 0
0.0875723 0 0 0 0 2.43051 10.0914 0 0
0.0875618 0 0 0 0 2.52272 11.9897 0 0
0.0875309 0 0 0 0 2.50053 10.9997 0 0
0.0874892 0 0 0 0 2.63591 10.2241 0 0
0.087436 0 0 0 0 2.65868 10.2263 0 0
0.0873767 0 0 0 0 2.70375 10.6944 0 0
0.0873001 0 0 0 0 2.76188 10.2749 0 0
0.087207 0 0 0 0 2.85335 10.2272 0 0
0.0871057 0 0 0 0 2.93716 9.47425 0 0
0.0869954 0 0 0 0 2.91742 9.2469 0 0
0.0868794 0 0 0 0 2.997 8.5514 0 0
0.0867565 0 0 0 0 2.97709 8.36444 0 0
0.0866286 0 0 0 0 3.06445 7.82201 0 0
0.0864973 0 0 0 0 2.99742 8.19359 0 0
0.0863481 0 0 0 0 3.09458 8.45071 0 0
0.0861896 0 0 0 0 3.22291 7.99998 0 0
0.0860233 0 0 0 0 3.1862 7.80309 0 0
0.0858505 0 0 0 0 3.29855 7.28816 0 0
0.0856727 0 0 0 0 3.08991 7.08212 0 0
0.0854844 0 0 0 0 2.97943 7.19488 0 0
0.0852911 0 0 0 0 2.91318 6.92441 0 0
0.0850938 0 0 0 0 2.71041 6.63566 0 0
0.0849226 0 0 11.8554 28.754 2.4541 9.11992 0 0
0.0847933 0 0 15.0373 37.5054 2.33899 11.3357 0 0
0.0847019 0 0 11.3705 28.4551 2.29481 11.4328 0 0
0.0846406 0 0 9.49263 23.9676 2.13459 11.3167 0 0
0.0845979 0 0 7.30678 19.0832 2.18158 10.8244 0 0
0.0845768 0 0 6.12951 16.1762 2.10401 10.0776 0 0
0.0845778 0 0 5.43869 14.6257 2.0289 9.12072 0 0
0.0845993 0 0 5.06934 13.9756 1.89326 8.58758 0 0
0.0846343 0 0 4.41316 12.6898 1.89981 8.02097 0 0
0.0846855 0 0 4.00897 11.7617 1.81564 7.55514 0 0
0.0847531 0 0 3.73063 11.2464 1.74097 7.03866 0 0
0.0848371 0 0 3.49045 10.8617 1.66843 6.58087 0 0
0.0849367 0 0 3.25579 10.4926 1.59543 6.2121 0 0
0.0850511 0 0 3.09292 10.09 1.52335 5.92521 0 0
0.0851793 0 0 3.02479 9.65853 1.45311 5.69396 0 0
0.0853207 0 0 2.96648 9.24368 1.38262 5.4915 0 0
0.0854748 0 0 2.9207 8.85809 1.39597 5.29793 0 0
0.0856411 0 0 2.88825 8.50809 1.47575 5.09526 0 0
0.0858194 0 0 2.86814 8.19645 1.5554 4.87584 0 0
0.0860098 0 0 2.85728 7.91833 1.63451 4.6417 0 0
0.0862124 0 0 2.85275 7.66736 1.71238 4.39797 0 0
0.0864274 0 0 2.81504 7.35311 1.78996 4.14146 0 0
0.0866543 0 0 2.4327 6.24869 1.87797 3.80092 0 0
0.0869421 0 0 2.36178 7.0739 15.6125 4.79945 0 0
0.0872464 0 0 2.39795 6.40913 4.01607 0.955386 0 0
0.087558 0 0 1.73164 4.65628 0 0 0 0
0.0878758 0 0 0.973643 2.41898 0 0 0 0
0.0881969 0 0 0.323657 0.794246 0 0 0 0
0.0885196 0 0 0 0 0 0 0 0
0.0888428 0 0 0 0 0 0 0 0
0.0891658 0 0 0 0 0 0 0 0
0.0894884 0 0 0 0 0 0 0 0
0.0898102 0 0 0 0 0 0 0 0
0.0901311 0 0 0 0 0 0 0 0
0.0904511 0 0 0 0 0 0 0 0
0.0907702 0 0 0 0 0 0 0 0
0.0910883 0 0 0 0 0 0 0 0
0.0914056 0 0 0 0 0 0 0 0
0.0917234 0 0 0.478733 1.11902 0 0 0 0
0.0920431 0 0 0.958201 2.22942 0 0 0 0
0.0923659 0 0 1.32911 3.07992 0 0 0 0
0.0926929 0 0 1.549 3.57692 0 0 0 0
0.0930243 0 0 1.61987 3.72883 0 0 0 0
0.0933603 0 0 1.57422 3.61288 0 0 0 0
0.0937007 0 0 1.45865 3.33739 0 0 0 0
0.0940451 0 0 1.32 3.01021 0 0 0 0
0.0943933 0 0 1.19594 2.7174 0 0 0 0
0.0947448 0 0 1.11023 2.51265 0 0 0 0
0.0950997 0 0 1.07212 2.41597 0 0 0 0
0.0954578 0 0 1.0787 2.41973 0 0 0 0
0.0958192 0 0 1.11919 2.49867 0 0 0 0
0.0961842 0 0 1.17956 2.62068 0 0 0 0
0.0965528 0 0 1.24648 2.75577 0 0 0 0
0.0969254 0 0 1.30977 2.8814 0 0 0 0
0.097302 0 0 1.36333 2.98442 0 0 0 0
0.0976979 0 0 2.3726 5.66843 3.75125 18.4126 0 0
0.0981139 0 0 3.83503 8.22818 3.63053 16.9774 0 0
0.098549 0 0 3.8756 8.65434 3.2895 15.531 0 0
0.0990047 0 0 3.34573 7.84593 4.2603 19.8332 0 0
0.0994766 0 0 2.81607 6.87197 3.25334 15.6419 0 0
0.0999623 0 0 2.58104 6.53765 2.48173 12.5535 0 0
0.100458 0 0 1.69664 4.78625 1.86462 10.189 0 0
0.10096 0 0 1.17644 3.86342 1.38248 8.44552 0 0
0.101467 0 0 0.722477 3.10188 1.00374 7.17264 0 0
0.101978 0 0 0.2932 2.41646 0.702947 6.25227 0 0
0.102489 0 0 -0.113687 1.80398 0.460835 5.59568 0 0
0.103001 0 0 0 0 -0.153735 3.90089 0.326089 16.8473
0.103512 0 0 0 0 -0.227963 3.62446 0.785026 13.8529
